username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SE_MacDonald;2016-01-30 17:14;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http://www. medscape.com/viewarticle/85 8042?src=wnl_edit_tpal&uac=224488MT?src=sttwit …";;;;"693557912673779712";https://twitter.com/SE_MacDonald/status/693557912673779712
AvpascuaV;2016-01-30 16:57;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http://www. medscape.com/viewarticle/85 8042?src=wnl_edit_tpal&uac=169104PG?src=sttwit …";;;;"693553761659150336";https://twitter.com/AvpascuaV/status/693553761659150336
CiudadManizales;2016-01-30 14:43;3;4;"362 niños menores de un año ya recibieron 2da dosis de rotavirus en jornada de vacunación @jcardonaleon";;@jcardonaleon;;"693519811767341056";https://twitter.com/CiudadManizales/status/693519811767341056
itslair;2016-01-30 12:31;0;4;"dice mi mamá que de chiquito estaba bien flaco porque me dio rotavirus ptm que suerte";;;;"693486776581619713";https://twitter.com/itslair/status/693486776581619713
comepent;2016-01-30 11:41;1;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http://www. medscape.com/viewarticle/85 8042 …";;;;"693474245079240704";https://twitter.com/comepent/status/693474245079240704
7thSpaceCom;2016-01-30 11:05;0;0;"News: Detection of group A rotavirus strains circulating among children with acute diarrhea in - http:// 7thspace.com/go/523659/";;;;"693465149211045888";https://twitter.com/7thSpaceCom/status/693465149211045888
AlyeskaDawn;2016-01-30 10:14;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http://www. medscape.com/viewarticle/85 8042?osversion=9.2.1&devicetype=iphone&appversion=5.2.2&src=iphone&ref=carouselarticle?src=sttwit …";;;;"693452180485992448";https://twitter.com/AlyeskaDawn/status/693452180485992448
dr_javr;2016-01-30 09:21;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http://www. medscape.com/viewarticle/85 8042 …";;;;"693438994122551297";https://twitter.com/dr_javr/status/693438994122551297
KOAMAMA_BLOG;2016-01-30 09:00;0;0;"¿SABES QUE ES EL ROTAVIRUS ? http:// blgs.co/cHnRa0 pic.twitter.com/ETlfnITeIH";;;;"693433566794010624";https://twitter.com/KOAMAMA_BLOG/status/693433566794010624
JorgeEmilioRey;2016-01-30 07:41;4;4;"Hoy nuestra meta es vacunar a 3.144 menores de un año con los biológicos de BCG, polio, pentavalente, rotavirus ,... http:// fb.me/7XlfskNL7";;;;"693413755095486465";https://twitter.com/JorgeEmilioRey/status/693413755095486465
GazelleBundchen;2016-01-30 07:22;0;0;"@CorporateCoon everybody here got rotavirus so.. Come on down!";;@CorporateCoon;;"693408891103621120";https://twitter.com/GazelleBundchen/status/693408891103621120
GeratorTrdplc;2016-01-30 07:15;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http:// dlvr.it/KMFNwW";;;;"693407199394070528";https://twitter.com/GeratorTrdplc/status/693407199394070528
mdsdaily;2016-01-30 04:17;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http:// bit.ly/1PLa9NI #health";;;#health;"693362330881556481";https://twitter.com/mdsdaily/status/693362330881556481
drstern50;2016-01-30 02:30;0;0;"El Nacional: Todo bebé debe tener dos vacunas contra el rotavirus a los seis meses http:// goo.gl/6dRo4N";;;;"693335391298924544";https://twitter.com/drstern50/status/693335391298924544
EarthGerm;2016-01-30 01:48;0;0;"EG Flu Tracking News Mixed Rotavirus Vaccine Series Safe and Immunogenic - Medscape http:// ow.ly/3aJMYl";;;;"693324825327181824";https://twitter.com/EarthGerm/status/693324825327181824
solazed;2016-01-29 23:50;0;0;"Combined Rotavirus Vaccine Collection Protected and Immunogenic - http:// goo.gl/alerts/ra2gR #GoogleAlerts";;;#GoogleAlerts;"693295165600067584";https://twitter.com/solazed/status/693295165600067584
doritmi;2016-01-29 23:42;1;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic #vaxwithme #vaccineswork http://www. medscape.com/viewarticle/85 8042?src=sttwit …";;;#vaxwithme #vaccineswork;"693293280822370304";https://twitter.com/doritmi/status/693293280822370304
Outbreakreport;2016-01-29 21:35;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic - Medscape http:// dlvr.it/KM4NqQ";;;;"693261117615833088";https://twitter.com/Outbreakreport/status/693261117615833088
SkepticPlaza;2016-01-29 21:25;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic - Medscape http:// dlvr.it/KM4G0f";;;;"693258726296322049";https://twitter.com/SkepticPlaza/status/693258726296322049
McVaccination;2016-01-29 21:09;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic - Medscape http:// bit.ly/1PZRhEM - #Vaccination #SF";;;#Vaccination #SF;"693254587554213889";https://twitter.com/McVaccination/status/693254587554213889
LGG4Note;2016-01-29 19:37;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic - Medscape http:// tinyurl.com/zcqf8qc #LGG4Note #G4Note";;;#LGG4Note #G4Note;"693231548221423616";https://twitter.com/LGG4Note/status/693231548221423616
carrie_byington;2016-01-29 19:17;0;0;"Sound information about this real-world scenario - Mixed Rotavirus Vaccine Series Safe and Immunogenic via @Medscape http://www. medscape.com/viewarticle/85 8042?src=sttwit …";;@Medscape;;"693226598443515904";https://twitter.com/carrie_byington/status/693226598443515904
SpaceMedic;2016-01-29 19:14;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic http://www. medscape.com/viewarticle/85 8042?src=rss … #Medscape Medical News Headlines";;;#Medscape;"693225699860156421";https://twitter.com/SpaceMedic/status/693225699860156421
AbelLavandeira;2016-01-29 19:08;0;0;"@gominolasdpetro rotavirus (Por decir algo distinto de lo que dice todo el mundo).";;@gominolasdpetro;;"693224311272902656";https://twitter.com/AbelLavandeira/status/693224311272902656
dekalb_medical;2016-01-29 19:07;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic: Rotavirus vaccination series using either a s... http:// wb.md/1KLmoCk #healthcare";;;#healthcare;"693224067508236288";https://twitter.com/dekalb_medical/status/693224067508236288
RondaDasheau;2016-01-29 18:56;0;0;"Mixed Rotavirus Vaccine Series Safe and Immunogenic Rotavirus vaccination series using either a single vaccine or a… pic.twitter.com/I2DeqJB8nv";;;;"693221332906033152";https://twitter.com/RondaDasheau/status/693221332906033152
GobValle;2016-01-29 18:51;1;1;"3. Vacunación será contra polio, difteria, tosferina, tétano, rotavirus , neumonía, tuberculosis, sarampión, cáncer de cuello uterino...";;;;"693219904992997376";https://twitter.com/GobValle/status/693219904992997376
GBT_HCentralSC;2016-01-29 16:15;1;0;"Las vacunas disponibles son: BCG, Hepatitis B, Antiinfluenza, Rotavirus , Pentavalente, Antipolio, Antimarilica y Trivalente @CorposaludGBT";;@CorposaludGBT;;"693180757758574593";https://twitter.com/GBT_HCentralSC/status/693180757758574593
inseut;2016-01-29 16:08;1;1;"mai eu nao gosto de voce sua windowsdezice passou pra mim ja que o rotavirus nao passou isso passa @maknaew";;@maknaew;;"693178847160877057";https://twitter.com/inseut/status/693178847160877057
janersm;2016-01-29 15:55;0;0;"Rotavirus kills 2,000 children every day in the developing world. It kills tens of thousands each year in the U.S. #vaccinefacts #vaccines";;;#vaccinefacts #vaccines;"693175618175963140";https://twitter.com/janersm/status/693175618175963140
PressOfficeEU;2016-01-29 15:36;0;0;"Press Alert: Detection of group A rotavirus strains circulating among children with acute diarrhea in ... http:// bit.ly/1TrK2Lw";;;;"693170950402105346";https://twitter.com/PressOfficeEU/status/693170950402105346
MzalesComoVamos;2016-01-29 15:29;1;1;"Mañana se aplicarán vacunas contra la polio, la hepatitis B y A y el rotavirus , entre otros http://www. lapatria.com/salud/vacunars e-es-la-meta-249881#sthash.z6yVLquL.dpuf … vía @lapatriacom";;@lapatriacom;#sthash;"693169184713392128";https://twitter.com/MzalesComoVamos/status/693169184713392128
NewsReactions;2016-01-29 14:36;0;0;"Detection of group A rotavirus strains circulating among children with acute diarrhea in ... - http:// bit.ly/1TrK2Lw";;;;"693155849871622144";https://twitter.com/NewsReactions/status/693155849871622144
hipstermedstdnt;2016-01-29 13:49;2;3;"My favorite Bertie Botts Beans flavor is rotavirus .";;;;"693143974383652866";https://twitter.com/hipstermedstdnt/status/693143974383652866
LeahDurantLaw;2016-01-29 13:45;0;0;"Different #Rotavirus #Vaccines For The Same Child Deemed Safe http:// ow.ly/XEL7b";;;#Rotavirus #Vaccines;"693143023295791105";https://twitter.com/LeahDurantLaw/status/693143023295791105
carrie_byington;2016-01-29 13:40;2;1;"Thanks to VTEU and @ncats_nih_gov CTSA hubs, we know that mixing rotavirus vaccines is ok. Our editorial in @AAPNews http:// pediatrics.aappublications.org/content/early/ 2016/01/26/peds.2015-3618 …";;@ncats_nih_gov @AAPNews;;"693141561924685824";https://twitter.com/carrie_byington/status/693141561924685824
NewsStories24;2016-01-29 13:36;0;0;"Detection of group A rotavirus strains circulating among children with acute diarrhea in ... - http:// bit.ly/1TrK2Lw";;;;"693140749102235650";https://twitter.com/NewsStories24/status/693140749102235650
FakeMomAdvice;2016-01-29 13:34;0;0;"Paleo is a waste of time! It didn't work for my newborn's rotavirus !";;;;"693140238185730048";https://twitter.com/FakeMomAdvice/status/693140238185730048
janersm;2016-01-29 13:10;0;0;"It took decades of research, development, and testing before the rotavirus vaccine was licensed by the CDC. #vaccines #vaccinefacts";;;#vaccines #vaccinefacts;"693134168268652545";https://twitter.com/janersm/status/693134168268652545
estandar_ga;2016-01-29 12:45;0;0;"Informes de vigilancia de Norovirus y Rotavirus . UK http:// ow.ly/XG37s";;;;"693127819409387520";https://twitter.com/estandar_ga/status/693127819409387520
MediaTower;2016-01-29 12:36;0;0;"Detection of group A rotavirus strains circulating among children with acute diarrhea in ... - http:// bit.ly/1TrK2Lw";;;;"693125649347821570";https://twitter.com/MediaTower/status/693125649347821570
pediatrie_fr;2016-01-29 11:39;0;0;"Vaccination contre les Rotavirus , vers où allons-nous ? http:// bit.ly/1PYzluc #Vaccinologie #pediaprat pic.twitter.com/kvcKcIoOXv";;;#Vaccinologie #pediaprat;"693111131854876672";https://twitter.com/pediatrie_fr/status/693111131854876672
WorldNewsEU;2016-01-29 11:35;0;0;"Detection of group A rotavirus strains circulating among children with acute diarrhea in ... - http:// bit.ly/1TrK2Lw";;;;"693110299180863490";https://twitter.com/WorldNewsEU/status/693110299180863490
mzilliox;2016-01-29 11:22;0;2;"Laying on the couch for 2 days with the rotavirus is pure torture! I would rather get run over by a train....";;;;"693107034997276672";https://twitter.com/mzilliox/status/693107034997276672
Nathy_villalba;2016-01-29 11:04;0;0;"#rotavirus";;;#rotavirus;"693102360382574592";https://twitter.com/Nathy_villalba/status/693102360382574592
Valentina_Gon;2016-01-29 10:28;0;0;"En esta casa están todos con rotavirus y yo acá como si nah";;;;"693093251306360833";https://twitter.com/Valentina_Gon/status/693093251306360833
