username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jerjerxx_;2016-12-30 16:56;0;0;"feel like vomitting out again";;;;"814953378002276352";https://twitter.com/jerjerxx_/status/814953378002276352
DawnieCall;2016-12-30 15:49;0;0;"Big achievment of Christmas No Cyclical Vomitting attack for daughter but struck again tonight oh well lasted 11 days since last one";;;;"814936538488459266";https://twitter.com/DawnieCall/status/814936538488459266
DOYOUNGWORM;2016-12-30 15:43;0;0;"i still feel like vomitting";;;;"814934962898137088";https://twitter.com/DOYOUNGWORM/status/814934962898137088
litlu_alfur;2016-12-30 15:22;0;0;"If could get out of bed that'd be awesome. But arthritis decided it wanted a turn after the vomitting .";;;;"814929695879860225";https://twitter.com/litlu_alfur/status/814929695879860225
TendoRad;2016-12-30 14:41;0;0;"At least you weren't p at 3 am vomitting water like I was.";;;;"814919384753901568";https://twitter.com/TendoRad/status/814919384753901568
adwyh_f;2016-12-30 13:25;1;1;"I hope you enjoyed your day & gifts bebehh sorry I had to end it w my vomitting :s stay charming as always hehe olives pic.twitter.com/8Q9JIfdqoB";;;;"814900222602002432";https://twitter.com/adwyh_f/status/814900222602002432
rioleexxxx;2016-12-30 13:05;0;0;"Bet that was the same crap alcohol I drank in Ibiza! Instant projectile vomitting !";;;;"814895203022606336";https://twitter.com/rioleexxxx/status/814895203022606336
CHOKE4DELiLAH;2016-12-30 12:11;0;0;"i'm so worried like i feel like vomitting";;;;"814881689193316352";https://twitter.com/CHOKE4DELiLAH/status/814881689193316352
RoufBhat_;2016-12-30 12:02;1;7;""The symptoms of love and cholera are same": diarrhea, fever, vomitting , concentration lapse and sleeplessness.";;;;"814879449040748546";https://twitter.com/RoufBhat_/status/814879449040748546
ULHT_News;2016-12-30 12:01;2;1;"#Norovirus is an unpleasant 24-48 hr vomitting bug BUT it's highly contagious & can be serious if it spreads in hospitals/care homes pic.twitter.com/fsABayUHPu";;;#Norovirus;"814879118655451136";https://twitter.com/ULHT_News/status/814879118655451136
gladys_steven;2016-12-30 11:59;0;0;"why are you vomitting ? Eat too much?";;;;"814878583462076416";https://twitter.com/gladys_steven/status/814878583462076416
ARMY_SanMhe;2016-12-30 11:43;0;0;"Tapeworm infection causes( vomitting ).. https:// twitter.com/BooniMoemoe/st atus/814873682359173120 …";;;;"814874587120840704";https://twitter.com/ARMY_SanMhe/status/814874587120840704
KlNGSMAN;2016-12-30 11:36;0;0;"hi if anyone's curious ive stopped vomitting and i feel much better woop but i hope y'all are having a great day fam coz you deserve it";;;;"814872840755363840";https://twitter.com/KlNGSMAN/status/814872840755363840
dannysh_dezikry;2016-12-30 11:34;0;0;"feel like vomitting . and i can feel fever is coming soon";;;;"814872185927929857";https://twitter.com/dannysh_dezikry/status/814872185927929857
CourtneyyMcG;2016-12-30 11:31;0;0;"If cyclic vomitting syndrome were a person, I'd push them infront of a bus.";;;;"814871590710153216";https://twitter.com/CourtneyyMcG/status/814871590710153216
estherrlalala;2016-12-30 11:27;2;13;"I crease how vomitting followed by fainting means pregnancy in Tamil serials/movies, what if she just had some dodgy chicken chow mein";;;;"814870454083186688";https://twitter.com/estherrlalala/status/814870454083186688
Me_Robsz10;2016-12-30 11:21;0;0;"uti, lagnat, vomitting tsaka pananakit ng likod...tanda ko na beh hehe";;;;"814868986919677952";https://twitter.com/Me_Robsz10/status/814868986919677952
a09ea2180ded422;2016-12-30 11:17;0;0;"#Kejriwal should be prepared to get slapped , if he decides to go around vomitting anti-Modi rant ! https:// twitter.com/ArvindKejriwal /status/814801372319129600 …";;;#Kejriwal;"814868114865209344";https://twitter.com/a09ea2180ded422/status/814868114865209344
NazifaNsharudin;2016-12-30 10:47;0;0;"having the tight chest and i have difficulty of breathing . vomitting for twice and its all the Red Velvet Latte";;;;"814860440442277888";https://twitter.com/NazifaNsharudin/status/814860440442277888
TheAparichit;2016-12-30 10:47;0;0;"@_sabanaqvi is it ur habit of vomitting everywhere? https:// twitter.com/mrsgandhi/stat us/814857682863714304 …";;@_sabanaqvi;;"814860412696961025";https://twitter.com/TheAparichit/status/814860412696961025
kidzrevil;2016-12-30 10:18;4;3;"Severe abdominal pain and vomitting for long term marijuana usage ? Who's experienced this ? Sure as hell aint me #propaganda";;;#propaganda;"814853057209102336";https://twitter.com/kidzrevil/status/814853057209102336
smacadam1;2016-12-30 10:10;0;0;"Kellyanne Conway losing a lot of weight! Can't stop vomitting up all her food - the lies even sicken her! Her kids tell her to stop lying! https:// twitter.com/foxnews/status /814671696619769857 …";;;;"814851108439031808";https://twitter.com/smacadam1/status/814851108439031808
downerabi;2016-12-30 10:00;0;0;"10 weeks of pregnancy related vomitting , migraines & exhaustion. If any1 tells me they feel 'poorly' i might actually turn into the hulk.";;;;"814848736765550592";https://twitter.com/downerabi/status/814848736765550592
Nabelapoppy;2016-12-30 09:52;0;1;"* vomitting * hahahaha";;;;"814846536257441792";https://twitter.com/Nabelapoppy/status/814846536257441792
ventablek;2016-12-30 07:20;0;0;"gain +1 banana for each vomitting";;;;"814808339997687809";https://twitter.com/ventablek/status/814808339997687809
iiiiiiera;2016-12-30 06:37;0;0;"Srsly idk why. Am i sick? I keep vomitting since last night.";;;;"814797478176268288";https://twitter.com/iiiiiiera/status/814797478176268288
tiRbrick;2016-12-30 06:09;0;1;"I sprinted on an empty stomach and now I feel like vomitting";;;;"814790604119048192";https://twitter.com/tiRbrick/status/814790604119048192
ZB_Katniss;2016-12-30 04:36;0;0;"Every time i see that name popping on the TL vomitting crap n bullshit i feel disguted.. Why wastin time askin Q tho go watch a stupid movie";;;;"814767079257767936";https://twitter.com/ZB_Katniss/status/814767079257767936
rovssssss;2016-12-30 04:35;0;1;"Hate vomitting on the road";;;;"814766971745013761";https://twitter.com/rovssssss/status/814766971745013761
velvetwink;2016-12-30 04:04;1;3;"I love vomitting all over myself https:// twitter.com/axstinn/status /814735744488992768 …";;;;"814759146566230016";https://twitter.com/velvetwink/status/814759146566230016
icouldusesleep;2016-12-30 03:48;0;0;"Before or after you start vomitting";;;;"814754919286607872";https://twitter.com/icouldusesleep/status/814754919286607872
ArolAdam;2016-12-30 03:36;0;0;"My head feels want to explode my stomach keep vomitting .";;;;"814751952290521088";https://twitter.com/ArolAdam/status/814751952290521088
