username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
__1607;2016-04-29 18:23;0;0;"I'm so disguised .. Steady vomitting ..";;;;"726175222668234753";https://twitter.com/__1607/status/726175222668234753
UrCrazyShortie;2016-04-29 17:42;0;0;"Haishh keep vomitting onii";;;;"726164734903357442";https://twitter.com/UrCrazyShortie/status/726164734903357442
mar_haschwalth;2016-04-29 17:40;0;2;"I feel like vomitting rn";;;;"726164353544671233";https://twitter.com/mar_haschwalth/status/726164353544671233
andjbest;2016-04-29 16:51;0;0;"IM PROJECTILE VOMITTING https:// vine.co/v/iZT03M2TOnq";;;;"726151848692948992";https://twitter.com/andjbest/status/726151848692948992
willyholson;2016-04-29 15:45;0;2;"major advising: also known as the first step to induce vomitting";;;;"726135267061460993";https://twitter.com/willyholson/status/726135267061460993
moninder_tomar;2016-04-29 15:34;0;0;"train no 542452 very urgeny my partners is having vomitting n oll n train is standing here frm last hour plz do smthng @RailMinIndia";;@RailMinIndia;;"726132637526417408";https://twitter.com/moninder_tomar/status/726132637526417408
mirellabot;2016-04-29 15:19;0;0;"( VOMITTING PROFUSELY)";;;;"726128671149301760";https://twitter.com/mirellabot/status/726128671149301760
ArossabeltzA;2016-04-29 15:12;0;0;"When the migraine hits you so you have to keep from vomitting in front of an entire class by profusely stuttering through your native tongue";;;;"726127019088551936";https://twitter.com/ArossabeltzA/status/726127019088551936
syahsyazsharif;2016-04-29 14:37;0;0;"Feel like vomitting ...";;;;"726118120251740161";https://twitter.com/syahsyazsharif/status/726118120251740161
NicoleCharnel;2016-04-29 14:18;0;0;"I feel like vomitting";;;;"726113491485134848";https://twitter.com/NicoleCharnel/status/726113491485134848
tejgohil_21;2016-04-29 14:16;0;1;"I am never drinking that much again vomitting in Bridge is not cool";;;;"726112992950149122";https://twitter.com/tejgohil_21/status/726112992950149122
sierraa_lucas;2016-04-29 14:13;0;1;"@Paperbackpc vomitting https:// twitter.com/30secondindie/ status/726053214211072001 …";;@Paperbackpc;;"726112132195045377";https://twitter.com/sierraa_lucas/status/726112132195045377
bshepss;2016-04-29 14:00;0;0;"I'm making fake vomitting noises and in tears doing it. I'm such a 10 year old";;;;"726108814215405569";https://twitter.com/bshepss/status/726108814215405569
OceanFmIreland;2016-04-29 13:44;0;0;"Visitor restrictions remain in place at SUH despite reduction in vomitting bug cases http:// oceanfm.ie/visitor-restri ctions-remain-in-place-at-suh-despite-reduction-in-vomitting-bug-cases/ … pic.twitter.com/w7ACqGPDa7";;;;"726104921817239552";https://twitter.com/OceanFmIreland/status/726104921817239552
wtvrnicki;2016-04-29 13:38;0;0;"I can't stop screaming and crying and vomitting I want to end my life";;;;"726103340552171521";https://twitter.com/wtvrnicki/status/726103340552171521
reallywhitekid;2016-04-29 12:47;0;0;"@reallywhitekid vomitting and strange noises. "Hang in there buddy!" wish I could have muscled a "Fuck you" but I was jus tryna live.";;@reallywhitekid;;"726090465708105730";https://twitter.com/reallywhitekid/status/726090465708105730
Jessi4JC;2016-04-29 12:45;0;1;"Today's final is brought to you by 6 years of research in 5 languages and a fair amount of vomitting . #seminarylife";;;#seminarylife;"726090000014675968";https://twitter.com/Jessi4JC/status/726090000014675968
I_Never_Fear;2016-04-29 11:42;0;1;"@kaa_fal हो र यतिकै त नहुनु पर्ने vomitting उम अहिले ठिक छौ नि ??";;@kaa_fal;;"726074150167564288";https://twitter.com/I_Never_Fear/status/726074150167564288
EmmaCDickinson;2016-04-29 10:59;0;2;"Did a couple just KISS in the gym? I am VOMITTING my eyes have rolled OUT of my head";;;;"726063245669359616";https://twitter.com/EmmaCDickinson/status/726063245669359616
limjiaennn;2016-04-29 10:21;0;0;"Feel like vomitting UGH FML";;;;"726053854609993728";https://twitter.com/limjiaennn/status/726053854609993728
wintygail;2016-04-29 09:22;0;0;"@updoyoung ahh atleast he's not vomitting or having a diarrhea cause our dog has "Parvovirus" Thank God he's okay now just sharing haha";;@updoyoung;;"726038929929961477";https://twitter.com/wintygail/status/726038929929961477
GafarAbdulhamid;2016-04-29 08:36;0;0;"Di ka KAWALAN sakin.... Like ewww. — feeling vomitting";;;;"726027447167279104";https://twitter.com/GafarAbdulhamid/status/726027447167279104
jujikim;2016-04-29 08:34;0;1;"@kyuzizi I feel like vomitting ~.~";;@kyuzizi;;"726026890172063744";https://twitter.com/jujikim/status/726026890172063744
grandiosekid;2016-04-29 08:29;0;2;"I was upset i didnt want to eat dinner and told them i was vomitting . Well i had fever but that wasnt the fucking reason i didnt want to eat";;;;"726025703729160195";https://twitter.com/grandiosekid/status/726025703729160195
wintygail;2016-04-29 08:28;0;0;"@updoyoung but is he vomitting or having a diarrhea?";;@updoyoung;;"726025445804642306";https://twitter.com/wintygail/status/726025445804642306
iRicanSinSation;2016-04-29 08:17;0;0;"I really need to get this endoscopy. Something has got to give. This vomitting every day thing has got to stop. I'm tired.";;;;"726022568524787712";https://twitter.com/iRicanSinSation/status/726022568524787712
kuso_English;2016-04-29 08:11;2;0;"強盗計画の件ですが、私は放屁担当。あなたは嘔吐担当です。 英文：About the matter of a plan for bank robbery , I'll charge passing fart and you will charge vomitting .";;;;"726021134852841472";https://twitter.com/kuso_English/status/726021134852841472
xsyahamsyiahx;2016-04-29 07:51;0;0;"At the verge of vomitting oh god i cannot";;;;"726016110361907200";https://twitter.com/xsyahamsyiahx/status/726016110361907200
jagjivanjot;2016-04-29 07:20;0;0;"#NDTVgotbucksfromAUGUSTA @rpsinghkhalsa NDTV IN MUTE MODE FROM MORNING... VOMITTING IN ANTICIPATION OF PREGNANCY ...";;@rpsinghkhalsa;#NDTVgotbucksfromAUGUSTA;"726008334143221760";https://twitter.com/jagjivanjot/status/726008334143221760
fazleenamiera;2016-04-29 04:58;0;0;"Vomitting ..";;;;"725972575206006784";https://twitter.com/fazleenamiera/status/725972575206006784
melissahalimx;2016-04-29 04:51;8;0;"fucking dizzy i feel like fking vomitting";;;;"725970837463953408";https://twitter.com/melissahalimx/status/725970837463953408
kqtyamatteI;2016-04-29 03:36;0;0;"Vomitting is always fun";;;;"725951817515851776";https://twitter.com/kqtyamatteI/status/725951817515851776
heephrodisiac;2016-04-29 02:26;0;0;"i seem to have lost my sense of coherence. ive been word vomitting";;;;"725934137534648320";https://twitter.com/heephrodisiac/status/725934137534648320
VaderSan;2016-04-29 01:49;0;0;"And as a response I heard the person vomitting and vomit splashing against the outside of the door....";;;;"725925052084965378";https://twitter.com/VaderSan/status/725925052084965378
pandawabbit05;2016-04-29 01:40;0;0;"sama tlga ng pkramdm ko .. LBM+ Vomitting .. shet ..";;;;"725922739630936064";https://twitter.com/pandawabbit05/status/725922739630936064
Midst0Fnothing;2016-04-29 00:09;0;1;"@CoriMcCarthy If I wasn't on an elliptical machine earlier I would've been Tweet- vomitting rainbows all over Sylph. Unfortunately, exercise.";;@CoriMcCarthy;;"725899755075727360";https://twitter.com/Midst0Fnothing/status/725899755075727360
enebrian;2016-04-29 00:02;0;4;"I REMEMBER MAKING OUT WITH A STRANGER. andd there was a video of me vomitting . pucha last night was so wild i cant even";;;;"725897898978758656";https://twitter.com/enebrian/status/725897898978758656
Hannicup;2016-04-28 22:32;2;13;"Side effects to achieving dragon form include vomitting sunbeams. #NicheAppeal #Hannibal pic.twitter.com/fdoPYQCLlb";;;#NicheAppeal #Hannibal;"725875283199320064";https://twitter.com/Hannicup/status/725875283199320064
ZaiFariz;2016-04-28 19:39;0;0;"Fever, headache, nausea/ vomitting , myalgia, dry cough Dx?";;;;"725831846383099906";https://twitter.com/ZaiFariz/status/725831846383099906
Natskis;2016-04-28 17:56;0;0;"@MattThompson how much fun would sprinting 3k's and almost vomitting be though... some parts just aren't fun.";;@MattThompson;;"725805983713230849";https://twitter.com/Natskis/status/725805983713230849
jamiereneeh;2016-04-28 17:49;0;1;"i love waking up to my dog vomitting all over the floor";;;;"725804186974097408";https://twitter.com/jamiereneeh/status/725804186974097408
BwayVamp;2016-04-28 17:00;0;0;"Nothing better then seeing a man in his 50s drunk and vomitting on the tube.";;;;"725791834228793344";https://twitter.com/BwayVamp/status/725791834228793344
captain_reen;2016-04-28 16:59;0;0;"5am and im vomitting . Hais.";;;;"725791468414066688";https://twitter.com/captain_reen/status/725791468414066688
ayeeeveee1;2016-04-28 16:48;0;0;"Im so tired of vomitting can i have this child already";;;;"725788826845601792";https://twitter.com/ayeeeveee1/status/725788826845601792
TokioHotalien;2016-04-28 16:47;1;1;"and he's always choking on something, it seems, whenever he's at home, he's like vomitting and we're both annoyed of each other";;;;"725788427225018368";https://twitter.com/TokioHotalien/status/725788427225018368
courtneyxciii;2016-04-28 16:02;0;0;"When will I ever learn that crying hysterically only results in vomitting";;;;"725777202676154369";https://twitter.com/courtneyxciii/status/725777202676154369
CaitlinClarke12;2016-04-28 15:32;0;0;"Awake all night lastnight, slept all day today and vomitting since I woke, this can't be normal";;;;"725769668888281089";https://twitter.com/CaitlinClarke12/status/725769668888281089
boweman97;2016-04-28 15:18;0;0;"When you vomit because you are crying alot, but then you keep crying because,you hate vomitting . It's an endless cycle.";;;;"725766249259528192";https://twitter.com/boweman97/status/725766249259528192
ClareceSellers;2016-04-28 15:13;0;4;"Me and Mady are at a restaurant and this lady just dramatically ran into the bathroom and started vomitting loud af";;;;"725764915923812352";https://twitter.com/ClareceSellers/status/725764915923812352
widxxi;2016-04-28 13:53;0;0;"i got so hyped over boig story line , and after the male lead been confirmed... i feel like vomitting everything tht i have said before orz";;;;"725744806782103554";https://twitter.com/widxxi/status/725744806782103554
IZaineb;2016-04-28 13:14;0;0;"@NooreenM_Ps hellooos, have been sick yaar, do dinoun se vomitting , khansi zukaam sab shuru tha, koi hosh hee nahi tha. Karti houn follow.";;@NooreenM_Ps;;"725734995243991041";https://twitter.com/IZaineb/status/725734995243991041
_celinawang;2016-04-28 12:59;0;0;"Ate so much I've been vomitting for a solid hour now";;;;"725731136102522880";https://twitter.com/_celinawang/status/725731136102522880
AndrewLye;2016-04-28 11:46;0;0;"Busy vomitting watching those 2 LOUD mouthed women on Sky News. Must be Donald Trump's lovechildren. US is becoming a horrible place!";;;;"725712849725698048";https://twitter.com/AndrewLye/status/725712849725698048
izumjsenas;2016-04-28 11:42;0;0;"i feellike vomitting";;;;"725711782770147328";https://twitter.com/izumjsenas/status/725711782770147328
CupidJeremy;2016-04-28 11:22;0;1;"my hate for cold buckwheat noodles is legit lol just thinking about it makes me feel like vomitting";;;;"725706831692079104";https://twitter.com/CupidJeremy/status/725706831692079104
Larry2excel;2016-04-28 09:50;0;0;"All this people sef...after vomitting whats on their mind, the next thing is account hacked. #celebrityworld #DoroNaGiver";;;#celebrityworld #DoroNaGiver;"725683518026567681";https://twitter.com/Larry2excel/status/725683518026567681
KarishaDavies;2016-04-28 09:46;0;0;"Nothing like being woken up to a kid projectile vomitting . This time Jarvis. FML 󾌹";;;;"725682701404000256";https://twitter.com/KarishaDavies/status/725682701404000256
cayasryan;2016-04-28 09:35;0;1;"My foot hurts I feel like vomitting every time I step with it (???)";;;;"725679884622663682";https://twitter.com/cayasryan/status/725679884622663682
kwonsquish;2016-04-28 09:19;0;0;"Fuck of all the nights that I get this low(to the point of feeling like vomitting ), no one's awake";;;;"725675685235154944";https://twitter.com/kwonsquish/status/725675685235154944
_putrinurnadia;2016-04-28 07:38;0;0;"I feel like vomitting";;;;"725650514034053124";https://twitter.com/_putrinurnadia/status/725650514034053124
shapperoni;2016-04-28 06:58;0;0;"vomitting is the worst bc all the blood vessels in my face pop and i look crazy";;;;"725640393820352515";https://twitter.com/shapperoni/status/725640393820352515
sincnx;2016-04-28 06:35;0;0;"Even white choco tarts make me feel like vomitting";;;;"725634615285706752";https://twitter.com/sincnx/status/725634615285706752
iamsuperpa;2016-04-28 06:33;0;0;"pardon me, after take this video - i vomitting kind of my… https://www. instagram.com/p/BEvaCV4Dn01D HtNeoA41CK1Iug1oi4VUsklaV00/ …";;;;"725634074380013568";https://twitter.com/iamsuperpa/status/725634074380013568
izzati_jung;2016-04-28 06:23;0;0;"Feel like vomitting";;;;"725631464331567104";https://twitter.com/izzati_jung/status/725631464331567104
hanaidayu;2016-04-28 05:36;0;0;"The heat always take a toll on my body. I can deal with headache but when vomitting involve, I give up.";;;;"725619571437113344";https://twitter.com/hanaidayu/status/725619571437113344
sweet_pote;2016-04-28 04:24;0;4;"I m truly scared for my life rn I haven't stopped vomitting since 1:30 am and. I can't even hold water down";;;;"725601536387194880";https://twitter.com/sweet_pote/status/725601536387194880
safewaterfacts;2016-04-28 03:04;0;0;"The incorporation of lead in water has short term effects such as nausea, vomitting , dehydration, and gastrointestinal problems.";;;;"725581373478703104";https://twitter.com/safewaterfacts/status/725581373478703104
Xelalanana;2016-04-28 02:49;0;0;"took a nap and now I feel like vomitting o)-<";;;;"725577640359292929";https://twitter.com/Xelalanana/status/725577640359292929
BulimiaSolution;2016-04-28 02:38;0;0;"The ultimate guide to curbing cravings http:// bit.ly/bulimiaaddicti on … #BulimiaNervosa #Vomitting";;;#BulimiaNervosa #Vomitting;"725574831421317120";https://twitter.com/BulimiaSolution/status/725574831421317120
AlkukhunAmal;2016-04-28 02:37;0;1;"That day all what we talked about was sick m, diarrhea and vomitting";;;;"725574713490157568";https://twitter.com/AlkukhunAmal/status/725574713490157568
xiclallyyyyy;2016-04-28 01:09;0;0;"have you ever coughed so hard that you end up vomitting ... yea me rn..";;;;"725552547474202628";https://twitter.com/xiclallyyyyy/status/725552547474202628
ShyDoll_31;2016-04-28 00:26;0;0;"Why are you vomitting like that? Text me @angeller13";;@angeller13;;"725541795560452096";https://twitter.com/ShyDoll_31/status/725541795560452096
kusoenglishbot4;2016-04-27 23:15;0;0;"強盗計画の件ですが、私は放屁担当。あなたは嘔吐担当です。 英文：About the matter of a plan for bank robbery , I’m charge to pass fart and your one is vomitting .";;;;"725523854567731201";https://twitter.com/kusoenglishbot4/status/725523854567731201
