username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
davin_gill;2016-02-28 17:19;0;0;"@sanofipasteur results of Phase III evaluating the vaccine against #rotavirus do not support regulatory submission http:// money.cnn.com/news/newsfeeds /articles/globenewswire/10159901.htm …";;@sanofipasteur;#rotavirus;"704068528559751168";https://twitter.com/davin_gill/status/704068528559751168
MSF_Espana;2016-02-28 15:30;30;22;"#Níger usa nuevas vacunas contra #neumococo y #rotavirus , importantes causas de mortalidad. @Planeta_Futuro @el_pais http:// bit.ly/1QHSwyX";;@Planeta_Futuro @el_pais;#N #neumococo #rotavirus;"704041108591009793";https://twitter.com/MSF_Espana/status/704041108591009793
enferdocente;2016-02-28 15:09;3;2;"Los resultados de una investigación justifican el uso de la vacuna infantil contra el rotavirus https://www. ucv.es/uhora_0.aspx?i d=9871 … vía @UCV_es";;@UCV_es;;"704035808932708352";https://twitter.com/enferdocente/status/704035808932708352
xiomarasilva;2016-02-28 12:09;0;0;"@Jaiziel porque primo. .. También te dio rotavirus ... o la influenza. .";;@Jaiziel;;"703990530993057793";https://twitter.com/xiomarasilva/status/703990530993057793
ZeroMD;2016-02-28 11:02;0;0;"Rotavirus Vaccine Administration | EPI DOH http:// publichealthresources.blogspot.com/2015/11/rotavi rus-vaccine-administration-epi-doh.html …";;;;"703973591105335297";https://twitter.com/ZeroMD/status/703973591105335297
gztvo;2016-02-28 07:51;0;0;"Rotavirus";;;;"703925416575180801";https://twitter.com/gztvo/status/703925416575180801
Pharma_Data;2016-02-28 07:50;0;0;"#Pharmaceuticals ROTATEQ ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT : Merck Sharp & Dohme Copr, West Point : http:// dg-di.eu/P31/1708.htm";;;#Pharmaceuticals;"703925263307022336";https://twitter.com/Pharma_Data/status/703925263307022336
EurekaMag;2016-02-28 06:25;0;0;"#EurekaMag Comparison of five diagnostic methods for the detection of rotavirus antigens in calf faeces http:// dlvr.it/KdcNWD";;;#EurekaMag;"703903773664514049";https://twitter.com/EurekaMag/status/703903773664514049
DJ_JEAM;2016-02-28 03:01;1;0;"todos salierona joder y uno aca enfermo puto rotavirus y si gracias #paracetamol";;;#paracetamol;"703852400491167744";https://twitter.com/DJ_JEAM/status/703852400491167744
MySweetestOwl;2016-02-28 02:55;0;0;"Acabé lo de Coronavirus... mañana me aviento lo de Rotavirus y me pongo a empezar a preparar el examen del viernes :'D";;;;"703850967502983169";https://twitter.com/MySweetestOwl/status/703850967502983169
ahirotat;2016-02-28 01:39;0;0;""Sustained Effectiveness of Monovalent and Pentavalent Rotavirus Vaccines in Children" http://www. jpeds.com/article/S0022- 3476(16)00044-5/abstract?rss=yes …";;;;"703831991834152964";https://twitter.com/ahirotat/status/703831991834152964
quiqueroglez;2016-02-28 01:06;0;0;"a los preocupados por la influenza AH1N1WTF1... se acuerdan del rotavirus de los 90's, 2000's... vamos por las vacunas ya!!!";;;;"703823630694641664";https://twitter.com/quiqueroglez/status/703823630694641664
MarcelGutCo;2016-02-27 20:25;1;1;"¿Viral? ¿Será que lleva virus de hepatitis, rotavirus , norovirus, astrovirus, adenovirus entérico, etc? https:// twitter.com/esquinabaja/st atus/703736056953348096 …";;;;"703752924296552448";https://twitter.com/MarcelGutCo/status/703752924296552448
MarcelGutCo;2016-02-27 20:12;0;1;"¿Con virus de hepatitis, rotavirus , norovirus, astrovirus, adenovirus entérico, etc? https:// twitter.com/elcomercio/sta tus/703735897674682369 …";;;;"703749697509462016";https://twitter.com/MarcelGutCo/status/703749697509462016
achtungkatie;2016-02-27 19:23;0;0;"@sink_or_swim globally, I think? From the context of the rest of the paragraph. It was actually talking about rotavirus and GI disease";;@sink_or_swim;;"703737209883459584";https://twitter.com/achtungkatie/status/703737209883459584
BarquisimetoMio;2016-02-27 15:57;0;0;"MPPS no envió vacunas neumococo y rotavirus http:// dlvr.it/KdMjdG";;;;"703685311092510724";https://twitter.com/BarquisimetoMio/status/703685311092510724
