username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ciberpasquinero;2016-07-30 19:45;0;0;"Ciberpasquinero 2.0: Rotavirus _la célula come lo que está al exterior http:// fb.me/2l6ojzKst";;;;"759535463430430720";https://twitter.com/Ciberpasquinero/status/759535463430430720
GobiernodeLara;2016-07-30 18:16;2;4;"Más de 5 mil dosis de rotavirus fueron distribuidas en red ambulatoria http:// lara.gob.ve/noticias/salud /3143-mas-de-5-mil-dosis-de-rotavirus-fueron-distribuidas-en-red-ambulatoria … pic.twitter.com/ZWScSy070j";;;;"759512963619356672";https://twitter.com/GobiernodeLara/status/759512963619356672
mistcinamontea;2016-07-30 16:45;0;0;"creo que rotavirus , porque eso cargan los chibolos";;;;"759490116830175232";https://twitter.com/mistcinamontea/status/759490116830175232
mayenazol;2016-07-30 16:39;0;0;"nada que rotavirus , no. Siempre me voy a la tragedia.";;;;"759488704821985281";https://twitter.com/mayenazol/status/759488704821985281
dirsaludlara;2016-07-30 14:30;1;2;"Más de 5 mil dosis de rotavirus fueron distribuidas en red ambulatoria http:// goo.gl/P0DgPn Infórmese aquí";;;;"759456168423124992";https://twitter.com/dirsaludlara/status/759456168423124992
keithlaw;2016-07-30 13:26;0;0;"yes, a few have, including the rotavirus one and the 1976 swine flu vaccine. Nothing to do with mercury or the schedule.";;;;"759439990044626948";https://twitter.com/keithlaw/status/759439990044626948
tagbobeckie1;2016-07-30 13:03;0;0;"Enugu Rotavirus Surveillance Team, collaborating hospitals, NPHCDA, WHO and GSK. pic.twitter.com/eoWggwKSor";;;;"759434189284470786";https://twitter.com/tagbobeckie1/status/759434189284470786
tagbobeckie1;2016-07-30 12:49;0;0;"A Research Award to my Research Team by President of Mali @the 10th African Rotavirus Symposium, Bamako June2016 pic.twitter.com/ivNd9rJ8Vb";;@the;;"759430778988195840";https://twitter.com/tagbobeckie1/status/759430778988195840
lasigmaz;2016-07-30 11:50;0;0;"https:// twitter.com/cstross/status /759345959964909568 … . @prernabindra @GeorgeMonbiot Open bins of fruit & veg invite handling. By hands that can transfer rotavirus or co…";;@prernabindra @GeorgeMonbiot;;"759415815988973568";https://twitter.com/lasigmaz/status/759415815988973568
gustavorivera53;2016-07-30 10:31;1;2;"Dosis contra el neumococo, rotavirus , hepatitisA, varicela, pentavalente, triple viral, influenza @SaludenPereira pic.twitter.com/Ieh261H1Kn";;@SaludenPereira;;"759396016873414656";https://twitter.com/gustavorivera53/status/759396016873414656
VirologyJ;2016-07-30 10:24;2;1;"Published: Diagnostic performance of the Luminex xTAG gastrointestinal pathogens panel to detect rotavirus in... http:// bit.ly/2azDXhq";;;;"759394267215179776";https://twitter.com/VirologyJ/status/759394267215179776
dirsaludlara;2016-07-30 10:05;1;1;"Más de 5 mil dosis de rotavirus fueron distribuidas en red ambulatoria http:// goo.gl/P0DgPn Infórmese aquí pic.twitter.com/Xm8fWxvgvR";;;;"759389393081733120";https://twitter.com/dirsaludlara/status/759389393081733120
GBT_HCentralSC;2016-07-30 08:01;1;0;"Las vacunas disponibles son: BCG, Hepatitis B, Antiinfluenza, Rotavirus , Pentavalente, Antipolio, Antimarilica y Trivalente @CorposaludGBT";;@CorposaludGBT;;"759358159135862784";https://twitter.com/GBT_HCentralSC/status/759358159135862784
sandeepglaxo;2016-07-30 07:35;0;0;"@ArvindKejriwal @msisodia like HPV vaccine Pl include Pneumococcal & Rotavirus Vaccines also in http:// Govt.supply .causing max deaths";;@ArvindKejriwal @msisodia;;"759351780362846208";https://twitter.com/sandeepglaxo/status/759351780362846208
cstross;2016-07-30 07:12;0;8;". @prernabindra @GeorgeMonbiot Open bins of fruit & veg invite handling. By hands that can transfer rotavirus or coliform bacteria.";;@prernabindra @GeorgeMonbiot;;"759345959964909568";https://twitter.com/cstross/status/759345959964909568
gezymegalitta;2016-07-30 01:49;0;0;"Well baby, 5 mo : 8,7 kg Vaksin PCV & rotavirus , Pas disuntik cuma nangis… (w/ Banny at Rumahvaksin BSD) [pic] — https:// path.com/p/3KfTqS";;;;"759264689629097999";https://twitter.com/gezymegalitta/status/759264689629097999
