username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stereo100xela;2016-05-30 19:58;0;1;"#Titulares100 El Área de Salud de Quetzaltenango no cuenta con vacunas de neumococo y rotavirus , por un desabastecimiento nacional";;;#Titulares100;"737432925612937216";https://twitter.com/stereo100xela/status/737432925612937216
trafficVALENCIA;2016-05-30 19:54;10;0;"via @julm23 : Buenas noches. Por favor alguien q me diga donde puedo conseguir la vacuna Rotavirus para mi bebe. #Valencia";;@julm23;#Valencia;"737432102442926081";https://twitter.com/trafficVALENCIA/status/737432102442926081
julm23;2016-05-30 19:43;0;0;"@trafficVALENCIA Buenas noches. Por favor alguien q me diga donde puedo conseguir la vacuna Rotavirus para mi bebe.";;@trafficVALENCIA;;"737429182049832960";https://twitter.com/julm23/status/737429182049832960
GBT_HCentralSC;2016-05-30 19:20;0;0;"Las vacunas disponibles son: BCG, Hepatitis B, Antiinfluenza, Rotavirus , Pentavalente, Antipolio, Antimarilica y Trivalente @CorposaludGBT";;@CorposaludGBT;;"737423405906038784";https://twitter.com/GBT_HCentralSC/status/737423405906038784
MetropolitanoAg;2016-05-30 18:29;2;1;"Cerca de 3 mil niños afectado por rotavirus durante el presente año en Aguascalientes http:// fb.me/7LduRyXA3";;;;"737410721273806848";https://twitter.com/MetropolitanoAg/status/737410721273806848
infoags;2016-05-30 16:52;0;0;"Cerca de 3 mil niños afectado por rotavirus durante el presente año en Aguascalientes http:// j.mp/1PdmWs9";;;;"737386112272846848";https://twitter.com/infoags/status/737386112272846848
Aguzados;2016-05-30 16:11;0;0;"El Rotavirus afecta principalmente a los niños menores de 5 años #Salud #Aguascalientes #AGuzadoS http:// aguzados.com/index.php/agua scalientes/18-salud-ags/7920-el-rotavirus-afecta-principalmente-a-los-ninos-menores-de-5-anos …";;;#Salud #Aguascalientes #AGuzadoS;"737375798831648768";https://twitter.com/Aguzados/status/737375798831648768
carlosromo1956;2016-05-30 16:10;0;0;"El Rotavirus afecta principalmente a los niños menores de 5 años #Salud #Aguascalientes #AGuzadoS http:// aguzados.com/index.php/agua scalientes/18-salud-ags/7920-el-rotavirus-afecta-principalmente-a-los-ninos-menores-de-5-anos …";;;#Salud #Aguascalientes #AGuzadoS;"737375746239254528";https://twitter.com/carlosromo1956/status/737375746239254528
Atanasia3;2016-05-30 15:51;0;0;"@Alc_Valencia tienen la vacuna para rotavirus ?";;@Alc_Valencia;;"737370973280829441";https://twitter.com/Atanasia3/status/737370973280829441
Atanasia3;2016-05-30 15:49;0;0;"ahi no hay, ya pregunte por rotavirus";;;;"737370422975561728";https://twitter.com/Atanasia3/status/737370422975561728
californiano20;2016-05-30 15:48;0;0;"@IlindelatorreMD Severa panproctocolitis d orign infeccioso, x adenovirus/ rotavirus (+), / leucos fecales +++ abundantes. Puede pasar ?";;@IlindelatorreMD;;"737370193677144066";https://twitter.com/californiano20/status/737370193677144066
HIV_AIDS_Bio;2016-05-30 15:15;0;0;"Quantitative PCR Detection and Characterisation of Human Adenovirus Rotavirus and Hepatitis… http:// dlvr.it/LRRtTy pic.twitter.com/XynDzb1axa";;;;"737361730058129408";https://twitter.com/HIV_AIDS_Bio/status/737361730058129408
oportunidadLife;2016-05-30 14:30;0;0;"Suplementos #4Life bienestar y salud #Hipertiroidismo #Hipotiroidismo #Rotavirus #Verrugas http:// bit.ly/1UTjD7S pic.twitter.com/Y8dcgYOkNT";;;#4Life #Hipertiroidismo #Hipotiroidismo #Rotavirus #Verrugas;"737350375653576709";https://twitter.com/oportunidadLife/status/737350375653576709
lucyfeIIfromsky;2016-05-30 14:03;10;0;"FAVOR DIFUNDIR Para bebita de 3 meses se solicita vacuna de Rotavirus #Valencia pero la podemos trasladar";;;#Valencia;"737343719423238144";https://twitter.com/lucyfeIIfromsky/status/737343719423238144
120ConSilvia;2016-05-30 13:40;1;0;"Pediatra Alex Pino @PinoM97 : "Desde hace 9 meses no llegan vacunas de hepatitis A y desde hace 2 la de rotavirus " #120ConSilvia";;@PinoM97;#120ConSilvia;"737337982408085504";https://twitter.com/120ConSilvia/status/737337982408085504
microbiomom;2016-05-30 13:34;0;2;"actual rotavirus infection carries greater risk of same problem. @BioWonk @doritmi @GeoffSchuler @lalger2020 @debunkdenialism";;@BioWonk @doritmi @GeoffSchuler @lalger2020 @debunkdenialism;;"737336518021251072";https://twitter.com/microbiomom/status/737336518021251072
BioWonk;2016-05-30 13:18;1;3;"Why is death the only metric that counts? Did you child die from rotavirus vaccine? If@MRY_ivy @doritmi @microbiomom @GeoffSchuler";;@MRY_ivy @doritmi @microbiomom @GeoffSchuler;;"737332476603830274";https://twitter.com/BioWonk/status/737332476603830274
MRY_ivy;2016-05-30 13:16;0;0;"why aren't European kids dying of diarrhea? They don't get the rotavirus vax. @doritmi @microbiomom @GeoffSchuler";;@doritmi @microbiomom @GeoffSchuler;;"737331765421834240";https://twitter.com/MRY_ivy/status/737331765421834240
lucyfeIIfromsky;2016-05-30 13:12;5;0;"FAVOR DIFUNDIR Para bebita de 3 meses se solicita vacuna de Rotavirus @MPPSalud_Vzla @DonaMed_VE #tropa";;@MPPSalud_Vzla @DonaMed_VE;#tropa;"737330762899460096";https://twitter.com/lucyfeIIfromsky/status/737330762899460096
MRY_ivy;2016-05-30 12:55;0;0;"my kid lost bowel function due to rotavirus vaccine- preventable!";;;;"737326508998426624";https://twitter.com/MRY_ivy/status/737326508998426624
trafficVALENCIA;2016-05-30 12:12;13;2;"via @mateflor : alguien sabrá donde están colocando rotavirus y neumococo? Las necesitó urgente para mi nieto. Gracias #Valencia";;@mateflor;#Valencia;"737315879893929986";https://twitter.com/trafficVALENCIA/status/737315879893929986
mateflor;2016-05-30 11:59;0;0;"@trafficVALENCIA alguien sabrá donde están colocando rotavirus y neumococo? Las necesitó urgente para mi nieto. Gracias";;@trafficVALENCIA;;"737312381483819008";https://twitter.com/mateflor/status/737312381483819008
MARACAYACTIVA;2016-05-30 11:52;8;1;"via @greicysuarez27 : buen día! Donde hay vacuna ROTAVIRUS ? Que desgracia toda la mañana buscando y ni en privado hay. #Maracay";;@greicysuarez27;#Maracay;"737310835979091968";https://twitter.com/MARACAYACTIVA/status/737310835979091968
maribelspo;2016-05-30 11:28;0;0;"@caraboboinsalud @AmeliachPSUV @DrRaul_Falcon en que ambulatorio de Carabobo puedo encontrar la Vacuna ROTAVIRUS para mi hijo?";;@caraboboinsalud @AmeliachPSUV @DrRaul_Falcon;;"737304672545951744";https://twitter.com/maribelspo/status/737304672545951744
Tcrowandthecat;2016-05-30 11:24;0;0;"Por los síntomas parece un Rotavirus /ejejejeje/";;;;"737303682493100032";https://twitter.com/Tcrowandthecat/status/737303682493100032
maribelspo;2016-05-30 11:23;0;0;"@Alc_Valencia tienen disponible la vacuna rotavirus ?";;@Alc_Valencia;;"737303416028991488";https://twitter.com/maribelspo/status/737303416028991488
juymar;2016-05-30 10:29;0;0;"Y el virus que está dando es muy fuerte es como un rotavirus y sin medicamentos https:// twitter.com/Leonardo_Padro n/status/737283355952177152 …";;;;"737289728203104257";https://twitter.com/juymar/status/737289728203104257
Tataaa30;2016-05-30 09:37;0;0;"Rotavirus dlu , sehat trs yaa kesayangan (with Rendra at RS Mitra Keluarga) [pic] — https:// path.com/p/4sXdyQ";;;;"737276638937780224";https://twitter.com/Tataaa30/status/737276638937780224
Anguelini;2016-05-30 09:07;0;1;"Todos en mi familia (Conce y Stgo) andan con Rotavirus (Léase RotavAirhus) y Vomits.";;;;"737269141346889728";https://twitter.com/Anguelini/status/737269141346889728
rocio_basualto;2016-05-30 09:05;0;1;"oye me dio ROTAvirus , ando exorcizandome";;;;"737268776983396352";https://twitter.com/rocio_basualto/status/737268776983396352
plant_biology;2016-05-30 09:03;0;0;"Quantitative PCR Detection and Characterisation of Human Adenovirus, Rotavirus and Hepatitis A Virus in Discharged… http:// dlvr.it/LRKwnh";;;;"737268117198381056";https://twitter.com/plant_biology/status/737268117198381056
leslie_adara;2016-05-30 08:49;0;0;"Algunos virus que generan daño gastrointestinal son Rotavirus Sapovirus Astrovirus Adenovirus";;;;"737264712853774336";https://twitter.com/leslie_adara/status/737264712853774336
FakeMomAdvice;2016-05-30 08:35;0;0;"Formula gave my DD rotavirus !";;;;"737261045606187008";https://twitter.com/FakeMomAdvice/status/737261045606187008
RunnerConcon;2016-05-30 08:31;0;0;"Un virus te ocasionó todo eso !! Será un rotavirus ?? https:// twitter.com/sergiotuitero/ status/737155396905885696 …";;;;"737260226915663873";https://twitter.com/RunnerConcon/status/737260226915663873
quemedapara_;2016-05-30 07:25;0;1;"Interesantísimo webinar sobre rotavirus . Puesta al día, nuevos hallazgos. @vactodate . Rotavolution @fedemartinon";;@vactodate @fedemartinon;;"737243456616206338";https://twitter.com/quemedapara_/status/737243456616206338
ayethpaj;2016-05-30 05:32;0;2;"Norwalk virus or Norovirus of Caliciviridae and Rotavirus of Reoviridae both cause Viral AGE #Roadto100percent";;;#Roadto100percent;"737215137619148800";https://twitter.com/ayethpaj/status/737215137619148800
FrisiaM;2016-05-30 03:46;0;0;"Mi mamá dice que me va a dar rotavirus porque no lavé el vaso que compré en el cine y estoy feliz tomando agua de ahí.";;;;"737188451552886786";https://twitter.com/FrisiaM/status/737188451552886786
SenseiiiX;2016-05-30 02:07;0;0;"rumah jer. Selalu bg mkn ubat demam siap2 lps cucuk. Pneumococcal dgn rotavirus vaccine jgn tinggal. #ceritaabah2";;;#ceritaabah2;"737163439198502912";https://twitter.com/SenseiiiX/status/737163439198502912
alejandroolomas;2016-05-29 23:14;0;0;"rotavirus";;;;"737119953229340673";https://twitter.com/alejandroolomas/status/737119953229340673
LHonvo;2016-05-29 22:00;0;3;"Top Homeopathic Medicines for Rotavirus #alternativehealingmethods http://www. drhomeo.com/homeopathic-tr eatment/homeopathic-medicines-for-rotavirus/ …";;;#alternativehealingmethods;"737101319408750593";https://twitter.com/LHonvo/status/737101319408750593
bactiman63;2016-05-29 21:29;0;0;"#Philippines : Zamboanga outbreak death toll rises to 22 #norovirus #rotavirus http:// fb.me/7MLiHFmEI";;;#Philippines #norovirus #rotavirus;"737093614694768640";https://twitter.com/bactiman63/status/737093614694768640
samus_108;2016-05-29 20:03;0;0;"Yo tan vancomicina y tu tan rotavirus";;;;"737071801881235456";https://twitter.com/samus_108/status/737071801881235456
imtiazahmed75;2016-05-29 17:14;0;0;"Livestock Diligence & Rotavirus Fear - http:// goo.gl/alerts/qP3aS #GoogleAlerts";;;#GoogleAlerts;"737029488308039680";https://twitter.com/imtiazahmed75/status/737029488308039680
leribedmartinez;2016-05-29 13:30;0;0;"buenas tarde, por favor donde puedo encontrar las vacunas Neumococo y Rotavirus ? Gracias.";;;;"736972900251631616";https://twitter.com/leribedmartinez/status/736972900251631616
doritmi;2016-05-29 13:04;1;3;"He did not vote to add rotavirus to schedule. Did to have it financed for poor kids.";;;;"736966331082248192";https://twitter.com/doritmi/status/736966331082248192
lifebiomedguru;2016-05-29 12:11;0;2;"So CDC an cite VAERS for rotavirus , but no one else? Stop telling me what to do.";;;;"736953004943872000";https://twitter.com/lifebiomedguru/status/736953004943872000
tiaGalle;2016-05-29 10:37;0;2;"chusmeaste el tema de la incorporacion al calendario de cada vacuna? Ponele rotavirus se incorporo este año.";;;;"736929434553454592";https://twitter.com/tiaGalle/status/736929434553454592
deharo5;2016-05-29 04:35;0;0;"Rinovirus, rotavirus y mi uso indistintivo de ellos.";;;;"736838471072022528";https://twitter.com/deharo5/status/736838471072022528
drstern50;2016-05-29 04:00;0;0;"El Nacional: Todo bebé debe tener dos vacunas contra el rotavirus a los seis meses http:// goo.gl/6dRo4N";;;;"736829602237059072";https://twitter.com/drstern50/status/736829602237059072
InfectionGuard;2016-05-29 02:24;0;0;"SMACK IN THE MIDDLE: Cooking up #gastric_flu #rotavirus #infectionguard http:// flip.it/gASaQ";;;#gastric_flu #rotavirus #infectionguard;"736805396598378496";https://twitter.com/InfectionGuard/status/736805396598378496
Scien_net;2016-05-28 22:47;0;0;"#Scien Distribution of antibodies to rotavirus in serum and lacteal secretions of naturally infected swine an... http:// migre.me/tXHHF";;;#Scien;"736750906360758272";https://twitter.com/Scien_net/status/736750906360758272
mTatva;2016-05-28 19:55;0;0;"Rotavirus Vaccine https://www. mtatva.com/en/health/rota virus-vaccine/ …";;;;"736707394802044928";https://twitter.com/mTatva/status/736707394802044928
oportunidadLife;2016-05-28 14:30;0;0;"Suplementos #4Life bienestar y salud #Hipertiroidismo #Hipotiroidismo #Rotavirus #Verrugas http:// bit.ly/1UTjD7S pic.twitter.com/Q9BXVo0DP5";;;#4Life #Hipertiroidismo #Hipotiroidismo #Rotavirus #Verrugas;"736625604049567745";https://twitter.com/oportunidadLife/status/736625604049567745
FakeMomAdvice;2016-05-28 11:35;0;0;"Soy is great for rotavirus !";;;;"736581571323564032";https://twitter.com/FakeMomAdvice/status/736581571323564032
IVACtweets;2016-05-28 10:24;1;0;"#VIEWhub shows that Hib, PCV and rotavirus #vaccines are not reaching target coverage levels. More info: http:// bit.ly/1OIU3P0";;;#VIEWhub #vaccines;"736563693060685825";https://twitter.com/IVACtweets/status/736563693060685825
drsadot;2016-05-28 10:06;0;0;"Rotavirus en México http:// fb.me/7Qk5HqlBd";;;;"736559250470625280";https://twitter.com/drsadot/status/736559250470625280
RuloElPanda;2016-05-28 09:11;0;0;"yo tuve un viernes muy perturbador , se llama rotavirus :/";;;;"736545369648046080";https://twitter.com/RuloElPanda/status/736545369648046080
uli_atta;2016-05-28 08:59;0;0;"Abang Jo panas badannya karna abis imunisasi DPT ke 2 + Rotavirus Cepet sembuh ya kesayangan… [pic] — https:// path.com/p/zWDGY";;;;"736542422172213248";https://twitter.com/uli_atta/status/736542422172213248
asrisulistya;2016-05-28 06:47;0;0;"Malem mingguannya ketemu rotavirus dan PCV. Semoga sehat teruuuuss! AAMIIN!! [pic] — https:// path.com/p/2E7o0d";;;;"736509208447721472";https://twitter.com/asrisulistya/status/736509208447721472
mony_mireles;2016-05-28 03:21;0;1;"Estupido rotavirus me cagaaaas";;;;"736457257915842561";https://twitter.com/mony_mireles/status/736457257915842561
drstern50;2016-05-28 02:35;0;0;"El Nacional: Todo bebé debe tener dos vacunas contra el rotavirus a los seis meses http:// goo.gl/6dRo4N";;;;"736445827732799492";https://twitter.com/drstern50/status/736445827732799492
RuloElPanda;2016-05-28 00:33;0;0;"me dio un rotavirus =[";;;;"736415077000056833";https://twitter.com/RuloElPanda/status/736415077000056833
thebigperc;2016-05-27 23:29;0;1;"we also inject vacc for salmonella and Rotavirus";;;;"736398976685998080";https://twitter.com/thebigperc/status/736398976685998080
GaliSemyonova;2016-05-27 20:59;0;0;"#free pics of beautiful sleeping teens getting abused rotavirus adult http:// tinyurl.com/hvqugqh pic.twitter.com/TZon6wrXpw";;;#free;"736361336813277184";https://twitter.com/GaliSemyonova/status/736361336813277184
guymetropolis;2016-05-27 20:57;0;0;"#Singapore : #Rotavirus sickens 180 in the Owen Road area http:// outbreaknewstoday.com/singapore-rota virus-sickens-180-in-the-owen-road-area-43244/ …";;;#Singapore #Rotavirus;"736360756921307136";https://twitter.com/guymetropolis/status/736360756921307136
caritoooo06;2016-05-27 20:34;0;0;"donde tienen la rotavirus disponible?";;;;"736354957398417408";https://twitter.com/caritoooo06/status/736354957398417408
caritoooo06;2016-05-27 20:33;0;0;"por favor me puedes decir donde puedo colocar la vacuna rotavirus ?";;;;"736354581312090112";https://twitter.com/caritoooo06/status/736354581312090112
caritoooo06;2016-05-27 20:27;0;0;"por favor cuando llegará la vacuna rotavirus al Edo aragua. Urgenteeeee";;;;"736353058599391232";https://twitter.com/caritoooo06/status/736353058599391232
caritoooo06;2016-05-27 20:26;0;0;"@MPPSalud_Vzla por favor urge la vacuna rotavirus en aragua. Cuando llegará?";;@MPPSalud_Vzla;;"736352897340956673";https://twitter.com/caritoooo06/status/736352897340956673
