username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RachelWard97;2016-03-30 17:48;1;1;"I'm now vomitting on my carpet lol #dailydairytweets #prayforrachel2k16";;;#dailydairytweets #prayforrachel2k16;"715294610323542016";https://twitter.com/RachelWard97/status/715294610323542016
DeBraunHill;2016-03-30 16:55;0;0;"Marafa Hamidou Yaya is literally vomitting all Popol's doings. Kweshon: When he was in Popol's good books why... http:// fb.me/4K2XbXbVc";;;;"715281402317643776";https://twitter.com/DeBraunHill/status/715281402317643776
meganderson25;2016-03-30 16:14;0;1;"@HStill7 vomitting";;@HStill7;;"715270920097628161";https://twitter.com/meganderson25/status/715270920097628161
LifeZette;2016-03-30 15:43;0;1;"How one cancelled flight, two rounds of vomitting , and a diaper 'situation' made one mom realize she can do it all: http:// bit.ly/1VTsg4P";;;;"715263073607622665";https://twitter.com/LifeZette/status/715263073607622665
arlardieri;2016-03-30 15:05;0;0;"How one cancelled flight, two rounds of vomitting , and a diaper 'situation' made one mom realize she can do it all: http:// bit.ly/1PFE03s";;;;"715253704891494404";https://twitter.com/arlardieri/status/715253704891494404
LeoWillner;2016-03-30 14:40;0;0;"@LeoWillner is Fremdschämen on it's height already or are they upping the level until everybody is vomitting in front of their devices.";;@LeoWillner;;"715247231146844160";https://twitter.com/LeoWillner/status/715247231146844160
nyanisomphikwa;2016-03-30 14:33;0;0;"I feel like vomitting eish";;;;"715245689735929856";https://twitter.com/nyanisomphikwa/status/715245689735929856
rizstrong;2016-03-30 14:27;0;0;"@kamaalrkhan @YUVSTRONG12 Bro dont forget that in world cup he was vomitting blood coughing still continued playing till end. Respect";;@kamaalrkhan @YUVSTRONG12;;"715243970025037826";https://twitter.com/rizstrong/status/715243970025037826
ExploringGaurav;2016-03-30 14:11;0;0;"@RailMinIndia @drmadiwr called 138 4 times, no answer, 4 yr old kid having vomitting n fever, pls help!! pnr 2216204945";;@RailMinIndia @drmadiwr;;"715240049596608512";https://twitter.com/ExploringGaurav/status/715240049596608512
ExploringGaurav;2016-03-30 14:10;0;0;"@RailMinIndia Sir called 138,4 times no one picking, kid is having vomitting , pls help pnr 2216204945";;@RailMinIndia;;"715239700689240065";https://twitter.com/ExploringGaurav/status/715239700689240065
SyazliyanaSmsl;2016-03-30 13:45;1;1;"Feel like vomitting , ya allah";;;;"715233565307305984";https://twitter.com/SyazliyanaSmsl/status/715233565307305984
MistyWilson089;2016-03-30 12:26;0;0;"@Aubz_with_a_Z :(....are still vomitting ?";;@Aubz_with_a_Z;;"715213514449797120";https://twitter.com/MistyWilson089/status/715213514449797120
Mom_Zette;2016-03-30 12:02;0;0;"How one cancelled flight, two rounds of vomitting , and a diaper 'situation' made one mom realize she can do it all: http:// buff.ly/1VTsg4Q";;;;"715207683788435456";https://twitter.com/Mom_Zette/status/715207683788435456
nyr_believe21;2016-03-30 11:50;0;0;"@DaltonRapattoni is the only guy who can make " vomitting in his brain in a good way" a thing and not seem like weirdo";;@DaltonRapattoni;;"715204481869357056";https://twitter.com/nyr_believe21/status/715204481869357056
odot9k;2016-03-30 11:38;0;0;"There's a man who's literally vomitting Islam on everyone here";;;;"715201594774654976";https://twitter.com/odot9k/status/715201594774654976
moisturizeds;2016-03-30 11:06;5;48;"@TheBeyHiveTeam im vomitting";;@TheBeyHiveTeam;;"715193541786525701";https://twitter.com/moisturizeds/status/715193541786525701
mohamed_hathim;2016-03-30 10:34;0;0;"@aashahere U feels vomiting but when we are seeing your nonna face.. we are vomitting without feels......";;@aashahere;;"715185326113886208";https://twitter.com/mohamed_hathim/status/715185326113886208
wyverarys;2016-03-30 09:38;0;1;"my friend on fb just consecutively shared the four most disgusting recipes ive ever seen im vomitting";;;;"715171441428336640";https://twitter.com/wyverarys/status/715171441428336640
hellomarguerite;2016-03-30 08:53;0;4;"Who will not leave you, even when you're vomitting and crying on the bathroom floor at 2 am drowning in all your sorrows and in alcohol";;;;"715159967339184129";https://twitter.com/hellomarguerite/status/715159967339184129
kusoenglishbot2;2016-03-30 07:19;0;0;"強盗計画の件ですが、私は放屁担当。あなたは嘔吐担当です。 英文：About the matter of a plan for bank robbery , I’m charge to pass fart and your one is vomitting .";;;;"715136417937031169";https://twitter.com/kusoenglishbot2/status/715136417937031169
AshiNaim;2016-03-30 07:01;0;0;"@AbbTakk when I see this slithering blithering man on TV, I feel like vomitting";;@AbbTakk;;"715131734396940289";https://twitter.com/AshiNaim/status/715131734396940289
ClutchEmWayne;2016-03-30 06:51;0;0;"Drink Alka Selzter too if tour vomitting it'll help ALOT https:// twitter.com/_blondiieeee/s tatus/715126966454718465 …";;;;"715129242699173888";https://twitter.com/ClutchEmWayne/status/715129242699173888
x_jxxi;2016-03-30 06:44;0;0;"@Putri_Hazeeqah_ sit i will feel like vomitting sia";;@Putri_Hazeeqah_;;"715127677473062912";https://twitter.com/x_jxxi/status/715127677473062912
chimkies;2016-03-30 06:09;0;0;"my head seriously hurts and i feel like vomitting . The shit i have to deal at work today!!!!!!";;;;"715118769756975104";https://twitter.com/chimkies/status/715118769756975104
izat7x;2016-03-30 05:57;0;0;"Feel like vomitting";;;;"715115757282025474";https://twitter.com/izat7x/status/715115757282025474
mirellabot;2016-03-30 05:19;0;0;"( VOMITTING PROFUSELY)";;;;"715106202431021056";https://twitter.com/mirellabot/status/715106202431021056
English_kreibun;2016-03-30 05:14;0;0;"強盗計画の件ですが、私は放屁担当。あなたは嘔吐担当です。 英文：About the matter of a plan for bank robbery , I’m charge to pass fart and your one is vomitting .";;;;"715105023185657856";https://twitter.com/English_kreibun/status/715105023185657856
fuckyachickenug;2016-03-30 03:30;0;1;"@tupcaI YES IM VOMITTING";;@tupcaI;;"715078778477654016";https://twitter.com/fuckyachickenug/status/715078778477654016
paigemillzz;2016-03-30 03:04;0;1;"@rick_james12 @DadFromDGOD I'm vomitting gotta go home";;@rick_james12 @DadFromDGOD;;"715072287251107840";https://twitter.com/paigemillzz/status/715072287251107840
straysoukoku;2016-03-30 02:01;0;4;"After vomitting multiple times, I still have to. I. Hate. My. Life";;;;"715056438608048130";https://twitter.com/straysoukoku/status/715056438608048130
Alberloze;2016-03-30 00:40;0;0;"First the projectile vomitting and IVs this month, and now perpetual fatigue no matter what I do, and I've been doing okay with my meds.";;;;"715035882567430144";https://twitter.com/Alberloze/status/715035882567430144
tantinr_;2016-03-29 23:17;0;0;"feel like vomitting everytime";;;;"715014966714060800";https://twitter.com/tantinr_/status/715014966714060800
APCcostambar;2016-03-29 23:00;0;0;"Apc security responded.to a medical emergency. Man was vomitting blood. Had way too much to drink and died... http:// fb.me/8j6PJ3we2";;;;"715010855591669761";https://twitter.com/APCcostambar/status/715010855591669761
Numinous_Sky;2016-03-29 21:50;0;0;""You a freak? " I LITERALLY JUST RECEIVED THIS IM VOMITTING EVERYWHERE BYE";;;;"714993099257282562";https://twitter.com/Numinous_Sky/status/714993099257282562
veronnn_;2016-03-29 21:41;0;0;"so close to vomitting ..";;;;"714990880126447616";https://twitter.com/veronnn_/status/714990880126447616
emptyhoon;2016-03-29 21:41;1;1;"WHAT IS THIS MESS IM VOMITTING https:// twitter.com/errorvixx/stat us/714974333681008640 …";;;;"714990807137255424";https://twitter.com/emptyhoon/status/714990807137255424
bridget_jennie;2016-03-29 21:18;0;1;"@WhiskeyRiff I wish there was a vomitting emoji";;@WhiskeyRiff;;"714985171322331136";https://twitter.com/bridget_jennie/status/714985171322331136
LanaBunn;2016-03-29 20:18;0;0;"Who else is vomitting right now watching @SenTedCruz on @cnnbrk ? He is the creepiest motherf**ker! Lyin Ted on everything! @sevigny_rob";;@SenTedCruz @cnnbrk @sevigny_rob;;"714970105373974529";https://twitter.com/LanaBunn/status/714970105373974529
xxasyiraxx;2016-03-29 20:00;1;2;"feel like vomitting";;;;"714965363620864000";https://twitter.com/xxasyiraxx/status/714965363620864000
ISHlMARU;2016-03-29 18:58;0;0;"@BR0NIES VOMITTING";;@BR0NIES;;"714949790174457859";https://twitter.com/ISHlMARU/status/714949790174457859
