username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
horsemeattt;2016-09-29 17:13;4;20;"This was the best show at the comedy festival this year in terms of me almost vomiting from laughter. https:// twitter.com/EmoPhilips/sta tus/781577034640330752 …";;;;"781602808994861056";https://twitter.com/horsemeattt/status/781602808994861056
CodyGamer84;2016-09-29 19:59;0;0;"Sony's new PlayStation VR headset 'could lead to EYE DISEASE and VOMITING epidemic' http:// bit.ly/2da3E86";;;;"781644594094235648";https://twitter.com/CodyGamer84/status/781644594094235648
SuperMachoJedi;2016-09-29 19:58;0;0;"Excerpt from Episode 256-"you've been a vomiting henchmen for some time now. Go fuck up some Green Lanterns"";;;;"781644464423047168";https://twitter.com/SuperMachoJedi/status/781644464423047168
AliSilversmith;2016-09-29 19:54;0;0;"Rare missing tooth sighting post- vomiting all over mommy and the house. @Deliverance Virginia https://www. instagram.com/p/BK9YFbegvEx/";;@Deliverance;;"781643301753610240";https://twitter.com/AliSilversmith/status/781643301753610240
payshhh;2016-09-29 19:52;0;6;"Which Warren drags better? @mutigercrew (kidding, we all know I was on the verge of vomiting after drags) https:// twitter.com/Cardinals/stat us/781639095680376833 …";;@mutigercrew;;"781642730896097280";https://twitter.com/payshhh/status/781642730896097280
fakelawn;2016-09-29 19:51;0;1;"@GrassleyWorks Thank you for vomiting on Chuck Grassley sign. Kind of gross, but seems appropriate.";;@GrassleyWorks;;"781642672092000257";https://twitter.com/fakelawn/status/781642672092000257
vomiting_m;2016-09-29 19:49;0;0;"ﾊｧｰ…ﾊｧｰ…、落ち着いた、か…？";;;;"781642188832727040";https://twitter.com/vomiting_m/status/781642188832727040
pinkusturluson;2016-09-29 19:47;0;0;"i am in pain and i feel like vomiting fuCK";;;;"781641691941830656";https://twitter.com/pinkusturluson/status/781641691941830656
rukkus84;2016-09-29 19:38;0;2;"Massive migraine and vomiting , hope you all have a goodnight!!! Off to bed for me.";;;;"781639374077329408";https://twitter.com/rukkus84/status/781639374077329408
EmpowHER;2016-09-29 19:37;1;2;"A5: Upset stomach, vomiting & other flu-like symptoms may appear in the days/weeks prior to a heart attack. http:// bit.ly/2dymb0i #HERchat";;;#HERchat;"781638984992755713";https://twitter.com/EmpowHER/status/781638984992755713
