username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rodlazda;2016-10-30 19:44;2;0;"Norovirus Polymerase Fidelity Contributes to Viral Transmission In Vivo by @igoodfel https://www. ncbi.nlm.nih.gov/pubmed/27777985";;@igoodfel;;"792874838457221121";https://twitter.com/rodlazda/status/792874838457221121
rodlazda;2016-10-30 19:43;3;0;"No! When the immunologist becomes a virologist: Norovirus - an emerging infection in immune deficiency diseases https://www. ncbi.nlm.nih.gov/pubmed/27755184";;;;"792874618935803904";https://twitter.com/rodlazda/status/792874618935803904
culinaryphysics;2016-10-30 18:42;0;0;"Norovirus isn't rocket science: Wash your freakin' hands - Food Safety News http:// bit.ly/2eY4k2j";;;;"792859216088215552";https://twitter.com/culinaryphysics/status/792859216088215552
Obi_John;2016-10-30 17:58;0;0;"Norovirus isn't rocket science: Wash your freakin' hands | Food Safety NewsFood Safety News http://www. foodsafetynews.com/2016/10/norovi rus-isnt-rocket-science-wash-your-freakin-hands/ …";;;;"792848156048359425";https://twitter.com/Obi_John/status/792848156048359425
mistersglluest;2016-10-30 17:31;0;0;"Half-term. Bookended by coughs and norovirus . Term time is exhaustion and stress, holidays are wheezing and puking. Living the dream!";;;;"792841278862069765";https://twitter.com/mistersglluest/status/792841278862069765
RCHTWeCare;2016-10-30 16:58;2;0;"Spread the word, not the virus. Help keep #norovirus out of hospital. Don't visit if you've had D+V http:// bit.ly/1DExE57";;;#norovirus;"792832952832958465";https://twitter.com/RCHTWeCare/status/792832952832958465
loriblack;2016-10-30 16:50;0;0;"you know you've had norovirus all weekend when the mere idea of a sausage roll is terrifying #churnystomach";;;#churnystomach;"792831007850397696";https://twitter.com/loriblack/status/792831007850397696
ruthjones84;2016-10-30 15:46;0;0;"Poorly babies with norovirus ! Need to clone myself!";;;;"792815032274980864";https://twitter.com/ruthjones84/status/792815032274980864
profdolores170;2016-10-30 15:27;0;0;"Hey girl you must be the norovirus bechuse I cay't get away from you.";;;;"792810247836532737";https://twitter.com/profdolores170/status/792810247836532737
elinlowri;2016-10-30 14:43;14;66;"No-one is immune to Norovirus pic.twitter.com/rEEqKJka8X";;;;"792799165197746176";https://twitter.com/elinlowri/status/792799165197746176
portutoro220;2016-10-30 14:26;0;0;"Hey girl you must be toe norovirus because I can't get away from ywu.";;;;"792794773841145856";https://twitter.com/portutoro220/status/792794773841145856
Food_news_usa;2016-10-30 14:22;0;0;"Norovirus isn't rocket science: Wash your freakin' hands - Food Safety News #Food http://www. newslocker.com/en-us/professi on/food/norovirus-isnt-rocket-science-wash-your-freakin-hands-food-safety-news/ …";;;#Food;"792793767220838400";https://twitter.com/Food_news_usa/status/792793767220838400
RCHTWeCare;2016-10-30 14:08;2;0;"Make sure good company is the only thing you share at your #halloween party Don't pass on #norovirus http:// bit.ly/1DExE57 pic.twitter.com/adfwZzAyPR";;;#halloween #norovirus;"792790174275084288";https://twitter.com/RCHTWeCare/status/792790174275084288
mediamonarchy;2016-10-30 14:03;1;2;"#FoodWorldOrder : Norovirus isn’t rocket science: Wash your freakin’ hands http:// dlvr.it/MYcRjK via @FoodSafetyNews pic.twitter.com/esqhus5A63";;@FoodSafetyNews;#FoodWorldOrder;"792789057046650880";https://twitter.com/mediamonarchy/status/792789057046650880
