username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_jeyfabiana;2015-01-30 18:39;0;0;"I hate the feeling of vomitting early in the morning";;;;"561307793899012096";https://twitter.com/_jeyfabiana/status/561307793899012096
PrettieJJ;2015-01-30 18:15;0;0;"Or vomitting";;;;"561301795893297155";https://twitter.com/PrettieJJ/status/561301795893297155
ariokonma;2015-01-30 15:59;0;0;"induce vomitting great";;;;"561267449308643328";https://twitter.com/ariokonma/status/561267449308643328
marissafioree;2015-01-30 15:16;0;0;"the talent show at my moms school is god awful this year I'm vomitting";;;;"561256590461112320";https://twitter.com/marissafioree/status/561256590461112320
eteezy;2015-01-30 14:52;0;0;"As far as my vomitting goes, that also led to stress. So kgothTEN on that.";;;;"561250546451873792";https://twitter.com/eteezy/status/561250546451873792
skimmmmmilk;2015-01-30 14:21;0;1;"I'm full of bullshits, I feel like vomitting and shitting";;;;"561242846284378113";https://twitter.com/skimmmmmilk/status/561242846284378113
afhxo;2015-01-30 14:16;1;0;"@nrfdxo oii dun lah. hahaha. i should be the one vomitting";;@nrfdxo;;"561241570943307777";https://twitter.com/afhxo/status/561241570943307777
GeekyJules;2015-01-30 13:56;0;0;"Bad thing about my vomitting is: Dont know if it's something gastro on top of cold/flu; don't know if it's from this week's chemo+prednisone";;;;"561236424893014016";https://twitter.com/GeekyJules/status/561236424893014016
GeekyJules;2015-01-30 13:54;0;0;"My goal for today is to get through the day without vomitting .";;;;"561236049754464257";https://twitter.com/GeekyJules/status/561236049754464257
findabree;2015-01-30 13:31;0;0;"Omg I'm gonna die after vomitting I have blood in my throat";;;;"561230306322026496";https://twitter.com/findabree/status/561230306322026496
lclntvs;2015-01-30 11:39;0;1;"@OBVIOUSBlCYCLE i am vomitting soup figuratively right now seeing as i am neither vomiting nor havei had soup in months";;@OBVIOUSBlCYCLE;;"561201965825556480";https://twitter.com/lclntvs/status/561201965825556480
kimmykangaroux;2015-01-30 10:14;0;2;"Always say I'll never drink alc again and then I find myself vomitting at 6 am ♡♡♡♡";;;;"561180609490722818";https://twitter.com/kimmykangaroux/status/561180609490722818
BreakinLegend;2015-01-30 10:03;0;0;"Vomitting again";;;;"561177868063887360";https://twitter.com/BreakinLegend/status/561177868063887360
The_Grim_Weeder;2015-01-30 10:03;0;2;"I have induced vomitting and drank plenty of milk!";;;;"561177850716626944";https://twitter.com/The_Grim_Weeder/status/561177850716626944
faizahmuz;2015-01-30 09:06;0;0;"Extreme pukeyness... I hate this feeling off nauseas and vomitting . So nice to be home today and tomm.";;;;"561163601088483328";https://twitter.com/faizahmuz/status/561163601088483328
skylinepjoyfly;2015-01-30 09:01;0;0;"@PerksofAngel_ vomitting every now and then kaya dinala na sa hospital";;@PerksofAngel_;;"561162366339928064";https://twitter.com/skylinepjoyfly/status/561162366339928064
JinTotoi;2015-01-30 08:15;0;0;"Too full with formulars, not food. N i feel like vomitting ..";;;;"561150648750579712";https://twitter.com/JinTotoi/status/561150648750579712
sumverma2;2015-01-30 07:29;0;0;"@anjanaomkashyap BJP vomitting ...its disgusting!";;@anjanaomkashyap;;"561139098677571585";https://twitter.com/sumverma2/status/561139098677571585
_RELOADD_;2015-01-30 06:58;0;0;"Feeling of vomitting sucks";;;;"561131440826380290";https://twitter.com/_RELOADD_/status/561131440826380290
Kyasurih;2015-01-30 06:23;0;0;"@jadedsleeves my dad's got vertigo and constant vomitting ..";;@jadedsleeves;;"561122644842405888";https://twitter.com/Kyasurih/status/561122644842405888
pwnymoly;2015-01-30 06:09;0;0;"@kailattae i can't sorry omg i'm vomitting rainbows wth";;@kailattae;;"561118940575707137";https://twitter.com/pwnymoly/status/561118940575707137
mirellabot;2015-01-30 05:20;0;0;"( VOMITTING PROFUSELY)";;;;"561106629739819009";https://twitter.com/mirellabot/status/561106629739819009
emaccaz_;2015-01-30 05:00;0;1;"@taneeshayates DONT IM VOMITTING";;@taneeshayates;;"561101634256658432";https://twitter.com/emaccaz_/status/561101634256658432
naturepedal;2015-01-30 04:56;0;0;"feel like vomitting .";;;;"561100520526331908";https://twitter.com/naturepedal/status/561100520526331908
Xannelle;2015-01-30 04:00;0;0;"I feel like vomitting *pukes*";;;;"561086586901647360";https://twitter.com/Xannelle/status/561086586901647360
LangaMnanjana;2015-01-30 03:36;0;0;"I hate vomitting — feeling sick";;;;"561080528682881024";https://twitter.com/LangaMnanjana/status/561080528682881024
Lavi_scar1et;2015-01-30 03:07;0;0;"even now i feel vomitting";;;;"561073075463004160";https://twitter.com/Lavi_scar1et/status/561073075463004160
35673j5678;2015-01-30 02:51;0;0;"@BustaRhymes i dont want to be known it is making me sick ( vomitting )";;@BustaRhymes;;"561069252938309632";https://twitter.com/35673j5678/status/561069252938309632
jadiee7;2015-01-30 01:06;0;0;"omg my kitty kept on vomitting O.O";;;;"561042799198339073";https://twitter.com/jadiee7/status/561042799198339073
illuminatezxyn;2015-01-30 00:12;0;0;"IT SNOWED LAST NIGHT IM VOMITTING I HATE THIS WEATHER";;;;"561029242310639616";https://twitter.com/illuminatezxyn/status/561029242310639616
emaccaz_;2015-01-29 23:35;0;0;"@HeyImNatalia IM VOMITTING";;@HeyImNatalia;;"561019796326584320";https://twitter.com/emaccaz_/status/561019796326584320
Deezee_Kujaku;2015-01-29 23:34;4;6;""Do you wear a size C4 bra? Cause you got some BOMB ass titties!" *VIOLENT PROJECTILE VOMITTING *";;;;"561019599647703040";https://twitter.com/Deezee_Kujaku/status/561019599647703040
hannahhhjaneee;2015-01-29 23:17;0;1;"@tgrayy96 vomitting .";;@tgrayy96;;"561015241698312195";https://twitter.com/hannahhhjaneee/status/561015241698312195
Kyasurih;2015-01-29 23:06;0;0;"@jadedsleeves still in mofo pain >< and feel like vomitting all the time ><";;@jadedsleeves;;"561012510514352128";https://twitter.com/Kyasurih/status/561012510514352128
Rose_Emayanty;2015-01-29 22:45;0;0;"Balik alor star tak sihat larh pulak. . Fever + vomitting";;;;"561007201880252416";https://twitter.com/Rose_Emayanty/status/561007201880252416
haleylabbe;2015-01-29 21:53;0;0;"got my cartilage re-pierced whats next? vomitting .";;;;"560994239430287361";https://twitter.com/haleylabbe/status/560994239430287361
ninaxtaemin;2015-01-29 20:39;0;0;"My one hour nap...i woke up feeling like vomitting omg whats wrong with me";;;;"560975515956158464";https://twitter.com/ninaxtaemin/status/560975515956158464
