username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_meezyabdlh;2015-02-27 18:17;0;0;"been vomitting profusely.";;;;"571449033396334592";https://twitter.com/_meezyabdlh/status/571449033396334592
ahsmolko;2015-02-27 17:27;0;0;"did the "which band member i ship you with" quiz and i got patrick stump im vomitting";;;;"571436404875644929";https://twitter.com/ahsmolko/status/571436404875644929
TheirneyFalls;2015-02-27 16:49;0;1;"@nerdamage Vomitting";;@nerdamage;;"571427003112402944";https://twitter.com/TheirneyFalls/status/571427003112402944
CrazyB_eautiful;2015-02-27 15:32;0;0;"Vomitting watching the first episode of House of Cards.";;;;"571407479659057154";https://twitter.com/CrazyB_eautiful/status/571407479659057154
Snarknado37;2015-02-27 13:29;0;4;"The hardest part about hiding concussion symptoms is figuring out how long you can blame the vomitting and dizziness on the stomach flu.";;;;"571376594142560256";https://twitter.com/Snarknado37/status/571376594142560256
LuvlyVeroE;2015-02-27 13:26;0;1;"Home w/ really bad vomitting but in the meanwhile kicking @amuze21 ass in this video game #injusticegodamongus pic.twitter.com/rCOHqGZXpB";;@amuze21;#injusticegodamongus;"571375882834542592";https://twitter.com/LuvlyVeroE/status/571375882834542592
communistqueer;2015-02-27 13:19;2;0;"do they not know that bulimia consists of constant episodes of binging on large quantities of foods, which is followed by vomitting ??";;;;"571374099106123777";https://twitter.com/communistqueer/status/571374099106123777
ThiamJoe;2015-02-27 12:50;0;0;"Feel like vomitting ..";;;;"571366659560091648";https://twitter.com/ThiamJoe/status/571366659560091648
aprofounddream;2015-02-27 12:44;0;1;"To those of you live tweeting/status updating/brain vomitting #HouseOfCards spoilers this weekend. It was nice talking to you. Bye forever.";;;#HouseOfCards;"571365227285110784";https://twitter.com/aprofounddream/status/571365227285110784
kimzayat;2015-02-27 12:33;0;1;"Vomitting at this ungodly hour";;;;"571362379658735616";https://twitter.com/kimzayat/status/571362379658735616
mikeeogarcia;2015-02-27 11:52;0;0;"And I am back to word vomitting on Twitter. Please feel free to click the unfollow button. x.x";;;;"571352130826534913";https://twitter.com/mikeeogarcia/status/571352130826534913
PammsMouse;2015-02-27 10:42;0;0;"@MarcHilliker Vomitting !";;@MarcHilliker;;"571334666583543809";https://twitter.com/PammsMouse/status/571334666583543809
prncsschvz;2015-02-27 10:40;0;1;"Hassle headache. Feel like vomitting . Ughh.";;;;"571334040919232512";https://twitter.com/prncsschvz/status/571334040919232512
Frhn0302;2015-02-27 09:20;0;0;"Honestly i feel like vomitting";;;;"571313857538363392";https://twitter.com/Frhn0302/status/571313857538363392
MissGoldenLocs;2015-02-27 09:16;0;0;"I Hate Vomitting";;;;"571312960683048960";https://twitter.com/MissGoldenLocs/status/571312960683048960
naddxx__;2015-02-27 08:56;0;0;"Vomitting & Migraine";;;;"571307804016771072";https://twitter.com/naddxx__/status/571307804016771072
kjaehwannie;2015-02-27 08:11;0;0;"felt like vomitting jn HAAHAHAH";;;;"571296439789203459";https://twitter.com/kjaehwannie/status/571296439789203459
NurulFithriyani;2015-02-27 08:06;0;0;"feel like vomitting pening hais";;;;"571295302554005504";https://twitter.com/NurulFithriyani/status/571295302554005504
mirellabot;2015-02-27 06:46;0;0;"( VOMITTING PROFUSELY)";;;;"571275234109579264";https://twitter.com/mirellabot/status/571275234109579264
napish_1;2015-02-27 05:23;0;0;"You know how worst it feels after vomitting .";;;;"571254344814714880";https://twitter.com/napish_1/status/571254344814714880
