username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
starboyftariana;2015-03-30 18:56;0;0;"In the v.o booth... i feel if demi Lavato can sing ... why can't I... I've been through way more then just vomitting after every meal.";;;;"582677752001740800";https://twitter.com/starboyftariana/status/582677752001740800
ImanBubblegum;2015-03-30 18:02;0;1;"never eating chick-fa again I always feel like vomitting afterwards";;;;"582664320372211712";https://twitter.com/ImanBubblegum/status/582664320372211712
roroROCHEurboat;2015-03-30 17:46;0;0;"#tbt bro ni the science guy (warning may induce vomitting ) https:// m.youtube.com/watch?v=-DLEUC mUZfw …";;;#tbt;"582660225032814592";https://twitter.com/roroROCHEurboat/status/582660225032814592
Moltenheim;2015-03-30 17:04;0;0;"@QuadPiece it was just vomitting compiler output";;@QuadPiece;;"582649697812275200";https://twitter.com/Moltenheim/status/582649697812275200
HennyBlanca;2015-03-30 16:32;0;0;"Damn the receptionist so fine and i had to tell him i cant stop shittin or vomitting";;;;"582641537101742080";https://twitter.com/HennyBlanca/status/582641537101742080
isobelledevilla;2015-03-30 16:10;0;0;"Waking up at the middle night ang vomitting sucks :/";;;;"582635927517827072";https://twitter.com/isobelledevilla/status/582635927517827072
virtualatheist;2015-03-30 15:58;0;1;"@godless_mom @Naradee12 [nuclear vomitting ]";;@godless_mom @Naradee12;;"582633087542145024";https://twitter.com/virtualatheist/status/582633087542145024
gisellerubio9;2015-03-30 15:38;0;1;"Aidan already knows the routine, when I start vomitting he runs to the fridge to bring me a bottle water";;;;"582628070600785920";https://twitter.com/gisellerubio9/status/582628070600785920
nightmxrz;2015-03-30 14:39;0;0;"I feel like vomitting out all the alcohol because of this transport.";;;;"582613206939500544";https://twitter.com/nightmxrz/status/582613206939500544
mardhiahna;2015-03-30 14:20;0;0;"Feel like vomitting .";;;;"582608391559753728";https://twitter.com/mardhiahna/status/582608391559753728
DeraOrabz;2015-03-30 14:10;0;0;"Malaria is about to kill me here..been vomitting like an idiot since morning.";;;;"582605794232918016";https://twitter.com/DeraOrabz/status/582605794232918016
KiriCallaghan;2015-03-30 13:49;0;0;"@ImpInMyHead Throat wasn't too great from all the uh... "exercise" of vomitting either. =(";;@ImpInMyHead;;"582600522131111936";https://twitter.com/KiriCallaghan/status/582600522131111936
bboydeepz;2015-03-30 12:58;0;0;"ouh shucks feel like vomitting no way";;;;"582587667956662272";https://twitter.com/bboydeepz/status/582587667956662272
mandyjantzi;2015-03-30 12:17;0;0;"@hschofielddd this picture just makes me think of Jay projectile vomitting hahaha";;@hschofielddd;;"582577348190568448";https://twitter.com/mandyjantzi/status/582577348190568448
satellitekid14;2015-03-30 11:33;0;0;"@James_Yammouni that vomitting though its eewww sorry james love u,.";;@James_Yammouni;;"582566377136893952";https://twitter.com/satellitekid14/status/582566377136893952
Jew_Matt;2015-03-30 11:09;0;0;""Yeah, you have a fever of 103, but its not flu so we don't really know, go to the ER if you start vomitting intensely or faint."";;;;"582560333623128064";https://twitter.com/Jew_Matt/status/582560333623128064
syiranasoha;2015-03-30 10:57;0;0;"Nausea and vomitting";;;;"582557310309904384";https://twitter.com/syiranasoha/status/582557310309904384
yanovi_;2015-03-30 10:50;0;1;"the anxiety make me feel like vomitting";;;;"582555526451449856";https://twitter.com/yanovi_/status/582555526451449856
vvsstaes;2015-03-30 10:10;0;2;"Tried Mommos 1st time. Took 1st bite n nxt moment i was in washroom- vomitting ! How cld ppl like it? Yaakkkk!";;;;"582545441071480832";https://twitter.com/vvsstaes/status/582545441071480832
ChocoLaDutchess;2015-03-30 10:07;0;1;"@KeefJudge @JohnFulthorpe what?! Influencial on what? Induce vomitting ? Orbitting clowns in space? Scaring frogs? Your Nan visiting?";;@KeefJudge @JohnFulthorpe;;"582544688890150912";https://twitter.com/ChocoLaDutchess/status/582544688890150912
namdictator;2015-03-30 09:53;2;2;"*PROJECTILE VOMITTING * YIXING LOOKS SO FUCKING GOOD pic.twitter.com/QavZe08Izl";;;;"582541205805907968";https://twitter.com/namdictator/status/582541205805907968
uchihoes;2015-03-30 09:44;5;6;"akashi: aomine its 3 in the morning what do u. Want aomine: im sorry i just kise is pregnant idk what to do he's vomitting how do i dad";;;;"582538930869772289";https://twitter.com/uchihoes/status/582538930869772289
geekyrollins;2015-03-30 09:33;1;1;"@heyitslilya_ my mom hates wwe so i had to act as if i'm vomitting lol.";;@heyitslilya_;;"582536202273886208";https://twitter.com/geekyrollins/status/582536202273886208
ZiqimHakim;2015-03-30 09:06;0;0;"Mild headache,the feeling of vomitting";;;;"582529325028642817";https://twitter.com/ZiqimHakim/status/582529325028642817
juanpilosopo;2015-03-30 08:14;0;1;"I feel like vomitting";;;;"582516307381235713";https://twitter.com/juanpilosopo/status/582516307381235713
Cali_DreamsXO;2015-03-30 07:39;3;0;"HIAN! My housemate had loud, glorious sex with her bf around val day, now she's been vomitting for days. Somebody's on the way oh!";;;;"582507357923598337";https://twitter.com/Cali_DreamsXO/status/582507357923598337
ananetra;2015-03-30 07:38;0;0;"watching a serie for the whole day is already fulfilling too much, i feel like vomitting .. i need a getaway!";;;;"582507297038942208";https://twitter.com/ananetra/status/582507297038942208
AshleeRobichaux;2015-03-30 07:33;0;0;"Alayna was up vomitting all night. I'm exhausted.";;;;"582506007680552960";https://twitter.com/AshleeRobichaux/status/582506007680552960
sgenglish44229;2015-03-30 07:26;0;0;"I feel like vomitting . 吐きそう。";;;;"582504167576510464";https://twitter.com/sgenglish44229/status/582504167576510464
inshamir6;2015-03-30 07:26;0;0;"@wahdatkashmiri @neelakshigswm they r just vomitting out their frustration..n getting sm relief outta our suffering... be brave";;@wahdatkashmiri @neelakshigswm;;"582504110265597952";https://twitter.com/inshamir6/status/582504110265597952
arielustre;2015-03-30 07:18;0;0;"@_yujibaba I have pneumonia. It started with a simple fever, then the next day headache and started vomitting :-(";;@_yujibaba;;"582502271956557824";https://twitter.com/arielustre/status/582502271956557824
byunkeyk;2015-03-30 06:55;10;1;"Jinki: seriously performing Jonghyun: looks like he's vomitting The other 3: just chillin' out pic.twitter.com/TmYff2DZaD";;;;"582496260369743873";https://twitter.com/byunkeyk/status/582496260369743873
bernyyyxx;2015-03-30 06:44;0;0;"I kept reading it as 'dont stop vomitting ' but it was really 'dont stop voting' HAHAHAHAHA gods and godesses my teacher taught me well man";;;;"582493633410002944";https://twitter.com/bernyyyxx/status/582493633410002944
nrf3hshm;2015-03-30 06:22;0;0;"Run down every staircase and it feels like vomitting alr.";;;;"582488145612034049";https://twitter.com/nrf3hshm/status/582488145612034049
dShoutcom;2015-03-30 06:22;0;0;"Vomitting won't stop. Diarrhea also. I really don't want to go the hospital.? http:// bit.ly/1DcNKkz";;;;"582487976032112641";https://twitter.com/dShoutcom/status/582487976032112641
curiosityxkills;2015-03-30 05:00;0;0;"@shazzyN bt i don't have all other symptoms like fever or vomitting . just pain but crazy amount of pain.so maybe see if can tahan a bit more";;@shazzyN;;"582467543262101504";https://twitter.com/curiosityxkills/status/582467543262101504
Uchez2;2015-03-30 04:34;0;0;"@PololisWang @uche he wanted to remove Jega? Please stop vomitting nonsense. If he wanted to, he would ve. Stop spreading lies";;@PololisWang @uche;;"582460926017818624";https://twitter.com/Uchez2/status/582460926017818624
