username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IYuuyaTrash;2015-05-30 19:59;0;0;"@WingSmash Sissy has been sick for two days straight with vomitting ;n; but sissy is fine for now!";;@WingSmash;;"604799216385294336";https://twitter.com/IYuuyaTrash/status/604799216385294336
yeenrealIy;2015-05-30 18:40;0;1;"@slxwburn so do u its the worst panicking about it, having 2 prevent any possible cause of u vomitting is SO stressful a canny deal";;@slxwburn;;"604779389893681154";https://twitter.com/yeenrealIy/status/604779389893681154
Jennyferrxoxo;2015-05-30 17:37;0;0;"Right here vomitting my soul out https:// twitter.com/sophiebanuelos /status/604763044393054208 …";;;;"604763549697597440";https://twitter.com/Jennyferrxoxo/status/604763549697597440
Jennyferrxoxo;2015-05-30 16:27;0;1;"I keep vomitting";;;;"604745992752087040";https://twitter.com/Jennyferrxoxo/status/604745992752087040
adele23;2015-05-30 15:39;0;0;"After a really bad epistaxis & vomitting , i was still able to be in this pic by farihanpadil.la… https:// instagram.com/p/3UXCTptOF8/";;;;"604733972552269824";https://twitter.com/adele23/status/604733972552269824
medicalaxioms;2015-05-30 15:38;1;9;"Words I can't spell: vomiting. Shouldn't it be vomitting ??";;;;"604733545387425792";https://twitter.com/medicalaxioms/status/604733545387425792
JakChe;2015-05-30 15:21;0;0;"@AuntFlo_28 when younger mine were to the point of numbing of legs, really bad stomach pains, migraines, vomitting , really bad back pain...";;@AuntFlo_28;;"604729270112534528";https://twitter.com/JakChe/status/604729270112534528
Xxgerwiexx;2015-05-30 14:51;0;0;"Feel like vomitting";;;;"604721883825594368";https://twitter.com/Xxgerwiexx/status/604721883825594368
FallenRebel;2015-05-30 14:47;0;0;"|| ~ after vomitting and I was afraid I wouldn't sleep at all. But then, I listened to BON's music and Guy's voice calmed me down within ~";;;;"604720766383476736";https://twitter.com/FallenRebel/status/604720766383476736
everfreeI;2015-05-30 14:46;0;0;"@nesoron In dname of Christ, ur misionaries tell lies, fool, convert ignorant Hindu. Fortunately,European r vomitting Xiantiy dat u embarce";;@nesoron;;"604720443287674880";https://twitter.com/everfreeI/status/604720443287674880
uJacobSartorius;2015-05-30 13:54;1;0;"sht bbl im close to vomitting bc head ache hurts as hell ffs";;;;"604707530426621953";https://twitter.com/uJacobSartorius/status/604707530426621953
MoChang_xoxo;2015-05-30 13:18;0;1;"@lemoncandypants @CauseWereGuys @erika4787 @KatieBug12496 brb vomitting";;@lemoncandypants @CauseWereGuys @erika4787 @KatieBug12496;;"604698438538772480";https://twitter.com/MoChang_xoxo/status/604698438538772480
wongzhiyusn;2015-05-30 13:06;0;0;"Feel like vomitting HAHAHA omg so late still cnt slp";;;;"604695491612311553";https://twitter.com/wongzhiyusn/status/604695491612311553
prvncs_;2015-05-30 12:45;0;0;"It felt like i was gonna die when i was vomitting jn cos u wanted me to eat the churros i made, u said it's bad, then y did my frends eat it";;;;"604690047573491712";https://twitter.com/prvncs_/status/604690047573491712
dainepaula;2015-05-30 12:44;0;0;"literally spent 5 hours of my life in the toilet vomitting and stuff.";;;;"604689813061574656";https://twitter.com/dainepaula/status/604689813061574656
SathyaNaraayana;2015-05-30 12:12;0;1;"@SharvinMraz is vomitting the only way to get it out ?";;@SharvinMraz;;"604681875693531137";https://twitter.com/SathyaNaraayana/status/604681875693531137
somfirwin;2015-05-30 12:10;0;1;"@boopyblonde @chilledoutmuke IM VOMITTING THIS IS BEAUTIFUL WHY AM I CRYING I NEED HELL";;@boopyblonde @chilledoutmuke;;"604681358624075776";https://twitter.com/somfirwin/status/604681358624075776
sadtanic96;2015-05-30 12:04;0;0;"feel like vomitting";;;;"604679875484467200";https://twitter.com/sadtanic96/status/604679875484467200
9mahalle;2015-05-30 11:26;0;0;"--feel like vomitting";;;;"604670288878530561";https://twitter.com/9mahalle/status/604670288878530561
pevanpreez_N_;2015-05-30 10:58;0;1;"awek awek -.- sounds like someone vomitting la bodo ahhha";;;;"604663067398381569";https://twitter.com/pevanpreez_N_/status/604663067398381569
maemontante;2015-05-30 10:46;0;0;"@fransuyyn y r u vomitting";;@fransuyyn;;"604660048191619073";https://twitter.com/maemontante/status/604660048191619073
AloysiusGKR;2015-05-30 10:41;0;0;"@VanessaTeeMM :( i really feel like vomitting one lor";;@VanessaTeeMM;;"604658816471285761";https://twitter.com/AloysiusGKR/status/604658816471285761
Dylan_Sharapova;2015-05-30 08:52;0;1;"Vomitting";;;;"604631355255750656";https://twitter.com/Dylan_Sharapova/status/604631355255750656
Patnyannn;2015-05-30 07:36;1;0;"Cough until feel like vomitting .";;;;"604612287295418368";https://twitter.com/Patnyannn/status/604612287295418368
iam_viktor;2015-05-30 06:54;0;0;"I want to make enough money to buy a MacBook without vomitting everytime I think of the price. Disgustingly pricey.";;;;"604601652855865345";https://twitter.com/iam_viktor/status/604601652855865345
rezetas;2015-05-30 06:09;0;0;"#recetas de Jennifer Lawrence Reveals Vomitting at Oscars &amp;amp; Being a Potterhead… http:// goo.gl/fb/wybHFt";;;#recetas;"604590456324956160";https://twitter.com/rezetas/status/604590456324956160
iqaaaaaah;2015-05-30 03:41;1;1;"feel like vomitting";;;;"604553268883128320";https://twitter.com/iqaaaaaah/status/604553268883128320
LOVEURSELF1001;2015-05-30 03:13;0;2;"We are not mentioning ur GAL.. We dont even like to take her name.. We feel like Vomitting @MeenuMehta_ @gopakid @RK_Virat";;@MeenuMehta_ @gopakid @RK_Virat;;"604546101211860992";https://twitter.com/LOVEURSELF1001/status/604546101211860992
laterstommo;2015-05-30 01:35;0;1;"my dog is vomitting & pooping liquid blood what am i going to do";;;;"604521380806197248";https://twitter.com/laterstommo/status/604521380806197248
Teigh_MarGee;2015-05-30 01:23;0;0;"OMG, I juss feel like vomitting ... Urggggh !!";;;;"604518349574414337";https://twitter.com/Teigh_MarGee/status/604518349574414337
CodyNguyener;2015-05-30 01:04;0;5;"less nerves more projectile vomitting";;;;"604513741154058240";https://twitter.com/CodyNguyener/status/604513741154058240
MumpeyBear;2015-05-30 00:10;0;0;"@KrunchyKraken so was I but all the vomitting says no fun for me";;@KrunchyKraken;;"604500067899183105";https://twitter.com/MumpeyBear/status/604500067899183105
CodyNguyener;2015-05-30 00:05;0;0;"I feel like vomitting .";;;;"604498943020392448";https://twitter.com/CodyNguyener/status/604498943020392448
localweekends;2015-05-29 23:26;0;1;"@localweekends this is so stupid i take this back a confederalist used this hashtag im vomitting";;@localweekends;;"604489055687057408";https://twitter.com/localweekends/status/604489055687057408
rJyrwoLmaS;2015-05-29 22:37;0;0;"@mrbeaks not necessarily weird. Concussion symptoms sometimes don't show up right away. Vomitting happened hours after game.";;@mrbeaks;;"604476774039224320";https://twitter.com/rJyrwoLmaS/status/604476774039224320
wonderhush;2015-05-29 22:31;0;1;"i've been feeling so sick and weak lately, i can't move fast and i feel like vomitting all the time";;;;"604475125811933184";https://twitter.com/wonderhush/status/604475125811933184
appricott_;2015-05-29 22:00;0;0;"I feel like vomitting again";;;;"604467422385442817";https://twitter.com/appricott_/status/604467422385442817
lekeshalayaw;2015-05-29 21:44;0;0;"Vomitting";;;;"604463479810973696";https://twitter.com/lekeshalayaw/status/604463479810973696
RespectAU;2015-05-29 21:38;0;0;"Was here thinking pregnancy was beautiful but now I see my sister fat/in pain/ vomitting every other night so i'm here like... No sah not I";;;;"604461790567628800";https://twitter.com/RespectAU/status/604461790567628800
sarahjaneclaros;2015-05-29 21:37;0;0;"Because I feel like vomitting since last night";;;;"604461564855328768";https://twitter.com/sarahjaneclaros/status/604461564855328768
jennygomezx;2015-05-29 21:20;0;0;"@KeidyRuby i was vomitting and a killer headache";;@KeidyRuby;;"604457282680811521";https://twitter.com/jennygomezx/status/604457282680811521
dpinsen;2015-05-29 20:32;0;1;"@Feralization Crossfit is it's own culture, IMO. But glorifying vomitting is kind of dumb.";;@Feralization;;"604445155614175232";https://twitter.com/dpinsen/status/604445155614175232
Clint_Uddenberg;2015-05-29 19:11;0;0;"When you don't know ants in your cereal and you eat like a colony of them...BRB vomitting";;;;"604424939383308288";https://twitter.com/Clint_Uddenberg/status/604424939383308288
MentalRiot;2015-05-29 19:03;0;1;"“ @JulieFromCinci : vomitting diarrhea with heart palpitations. Sounds awful.” / "just another manic Monday..."";;@JulieFromCinci;;"604422964700774400";https://twitter.com/MentalRiot/status/604422964700774400
JulieFromCinci;2015-05-29 18:46;0;0;"vomitting diarrhea with heart palpitations. Sounds awful.";;;;"604418621675282432";https://twitter.com/JulieFromCinci/status/604418621675282432
13riannaaa;2015-05-29 18:35;0;0;"Unfortunately, some of us go through devil periods with severe "I think I'm dying" pain accompanied by vomitting and fainting. Sooooo ya.";;;;"604415851949854720";https://twitter.com/13riannaaa/status/604415851949854720
junniehh_;2015-05-29 18:12;0;0;"im dying of excessive vomitting";;;;"604409937049968642";https://twitter.com/junniehh_/status/604409937049968642
IC_ActivityLog;2015-05-29 17:28;0;3;"SUBJ VOMITTING @jimmyjohns http://www. iowa-city.org/icgov/apps/pol ice/activityLog.asp?dis=15078192&date=05232015 …";;@jimmyjohns;;"604398935113773056";https://twitter.com/IC_ActivityLog/status/604398935113773056
DakotaBlueR;2015-05-29 17:22;6;18;"This drink is like drunk vomitting backwards.";;;;"604397461269037056";https://twitter.com/DakotaBlueR/status/604397461269037056
Kageyamatoo;2015-05-29 16:47;0;0;"I'M SEEING ED SHEERAN IN 5 DAYS IN VOMITTING";;;;"604388515305099264";https://twitter.com/Kageyamatoo/status/604388515305099264
5SOS__Manon;2015-05-29 16:37;0;0;"feeling a bit better now after vomitting I hope I'm better soon because this sucks";;;;"604386118130339840";https://twitter.com/5SOS__Manon/status/604386118130339840
2LOUSY4U;2015-05-29 16:18;1;0;"why do i feel like vomitting everytime i smoke this winston purple mint -___-";;;;"604381308421201920";https://twitter.com/2LOUSY4U/status/604381308421201920
manxboy;2015-05-29 15:38;1;1;"@DickDelingpole Agree, cat vomitting on carpet isnt much worse than that drivel.";;@DickDelingpole;;"604371130296725504";https://twitter.com/manxboy/status/604371130296725504
spencerrejds;2015-05-29 15:04;0;0;"@swiftsmultiply IM PROJECTILE VOMITTING IM SO HAPPY FOR YOU HONEY :D";;@swiftsmultiply;;"604362675229958146";https://twitter.com/spencerrejds/status/604362675229958146
_mamanssi;2015-05-29 15:00;0;0;"Vomitting and nausea at 3 in the morning";;;;"604361687899111424";https://twitter.com/_mamanssi/status/604361687899111424
R_Vols;2015-05-29 14:12;1;0;"@margmilz I'm vomitting";;@margmilz;;"604349589588742145";https://twitter.com/R_Vols/status/604349589588742145
lapkopaws;2015-05-29 12:57;0;0;"How do I spell a vomitting sound?";;;;"604330844568838144";https://twitter.com/lapkopaws/status/604330844568838144
swiftsmendess;2015-05-29 12:54;0;0;"I absolutely hate Worth It I'm vomitting listening to it";;;;"604330101770194944";https://twitter.com/swiftsmendess/status/604330101770194944
KashimTenshi;2015-05-29 12:45;0;0;"@LazyCanuckk *Chicken vomitting while spinning on LP with flashing lights*";;@LazyCanuckk;;"604327838909480961";https://twitter.com/KashimTenshi/status/604327838909480961
mirdrashraf78;2015-05-29 12:39;0;0;"@TimesNow vomitting is reaction of reality";;@TimesNow;;"604326264623616000";https://twitter.com/mirdrashraf78/status/604326264623616000
pamsson;2015-05-29 11:36;0;0;"@NateDuncanNBA @RotowireATC Wasn't he vomitting though? An ear injury can have that much of an impact?";;@NateDuncanNBA @RotowireATC;;"604310294790168577";https://twitter.com/pamsson/status/604310294790168577
mitha914;2015-05-29 10:56;0;0;"confuse, vomitting , feeling blue.. that`s all my problem, can you heal me doctor? :(";;;;"604300186613981186";https://twitter.com/mitha914/status/604300186613981186
urwaifu;2015-05-29 10:54;0;0;"I used to vomit at the sight of other people vomitting";;;;"604299692340436992";https://twitter.com/urwaifu/status/604299692340436992
da_trif;2015-05-29 10:01;0;0;"The projectile vomitting is the most exciting kind for a father. #parenting #fatherhood http:// buff.ly/1LPil93";;;#parenting #fatherhood;"604286364671184896";https://twitter.com/da_trif/status/604286364671184896
FishocatX;2015-05-29 10:00;0;0;"@Mediculus or vomitting against a closed glottis";;@Mediculus;;"604286282026504192";https://twitter.com/FishocatX/status/604286282026504192
_s4bby;2015-05-29 09:39;0;0;"been vomitting several times already :-((";;;;"604281020683165698";https://twitter.com/_s4bby/status/604281020683165698
jlr3;2015-05-29 09:12;0;0;"@mrclarkinc sure, but call a duck a duck. Blow to head hard enough to cause bleeding from ear + dizziness + vomitting = probable concussion.";;@mrclarkinc;;"604274207740985344";https://twitter.com/jlr3/status/604274207740985344
NoChristine;2015-05-29 09:02;0;1;"Lets just ignore the fact that im vomitting continuously and can barely stand.";;;;"604271680400171009";https://twitter.com/NoChristine/status/604271680400171009
geolemon_india;2015-05-29 09:01;0;0;"presenting VEEDOB...to help in nausea and vomitting during pregnancy as well as having folic acid pic.twitter.com/lbRDh7lBro";;;;"604271241826967552";https://twitter.com/geolemon_india/status/604271241826967552
qairavx_;2015-05-29 08:47;0;0;"@EykaaSham * vomitting * & *cries* I think my death time is closer";;@EykaaSham;;"604267757199187969";https://twitter.com/qairavx_/status/604267757199187969
Asherryongg;2015-05-29 08:45;0;0;"Everytime before drinking will feel like vomitting ..";;;;"604267273763704833";https://twitter.com/Asherryongg/status/604267273763704833
zaffyy;2015-05-29 08:01;0;0;"Feel like vomitting";;;;"604256169356435456";https://twitter.com/zaffyy/status/604256169356435456
Manjunathan;2015-05-29 07:32;0;0;"@vikram_hospital Do not give the person anything to drink if the person is not alert or is vomitting . #BeatTheHeatWave";;@vikram_hospital;#BeatTheHeatWave;"604249071612772353";https://twitter.com/Manjunathan/status/604249071612772353
_yanessuhhh;2015-05-29 07:19;0;0;"1st day ko = vomitting , nanginginig plus hilata all day :( sobra ako magka dysmennorhea";;;;"604245552868405250";https://twitter.com/_yanessuhhh/status/604245552868405250
CocoCandyfloss1;2015-05-29 06:36;0;0;"@BountyUK I had bad nausea but not vomitting . I would have preferred to just vomit than feel like i was going to. http:// Cococandyfloss.com";;@BountyUK;;"604234732440850432";https://twitter.com/CocoCandyfloss1/status/604234732440850432
CiaraAmylia;2015-05-29 04:07;0;0;"I feel so sad for myself bcos whenever i see food i feel like vomitting sigh HAAAAAAAAAAIS";;;;"604197351255719936";https://twitter.com/CiaraAmylia/status/604197351255719936
_iyaaahx;2015-05-29 02:02;0;0;"@KhidhirZaki hahaha feel like vomitting zzzzzz no naise :-(";;@KhidhirZaki;;"604165945192390656";https://twitter.com/_iyaaahx/status/604165945192390656
ZaBethMarsh;2015-05-29 01:50;0;1;"@allieberube been there. Now you just need to get past vomitting and you're in the clear. Hope you feel better.";;@allieberube;;"604162855663853568";https://twitter.com/ZaBethMarsh/status/604162855663853568
Katy_1Dlovely;2015-05-29 01:28;0;0;"But I'm serious how do I write an exam when I feel like vomitting";;;;"604157377663885312";https://twitter.com/Katy_1Dlovely/status/604157377663885312
Katy_1Dlovely;2015-05-29 01:27;0;0;"4am: *wakes up* "Ah I feel way better" *5 min later* "Um I think I need the bathroom" *few seconds later* * vomitting *";;;;"604157209229070336";https://twitter.com/Katy_1Dlovely/status/604157209229070336
Barre_Baby;2015-05-29 00:25;0;0;"I feel like vomitting I'm so disgusted !!!!";;;;"604141502369935360";https://twitter.com/Barre_Baby/status/604141502369935360
iishandreii;2015-05-28 23:27;0;0;"Vomitting + migraine = hell";;;;"604126981249097728";https://twitter.com/iishandreii/status/604126981249097728
Nicole_Grayx;2015-05-28 22:09;0;3;"Just received a random snapchat saying "When we fucking?" Brb vomitting";;;;"604107206250909696";https://twitter.com/Nicole_Grayx/status/604107206250909696
Fatiinnnkan;2015-05-28 21:51;0;0;"And the u easy feeling is vomitting . I feel like vomiting";;;;"604102704684662784";https://twitter.com/Fatiinnnkan/status/604102704684662784
Bellalovesss;2015-05-28 21:43;0;0;"Nausea, vomitting . Tsss. Conversion na ba 'to. I have to manage my anxiety.";;;;"604100672938627072";https://twitter.com/Bellalovesss/status/604100672938627072
mimieymajid;2015-05-28 21:26;0;0;"No matter how expensive vanilla scent is. For god sake, I still hate it. Memang tak boleh terima, feel like vomitting even lalu sebelah.";;;;"604096528509059073";https://twitter.com/mimieymajid/status/604096528509059073
emilyngoh;2015-05-28 20:43;0;0;"feel like vomitting at the sight of my results";;;;"604085523146104833";https://twitter.com/emilyngoh/status/604085523146104833
Duckbats;2015-05-28 18:19;0;0;"Rohan/Koichi BUT ITS VOMITTING GROSS";;;;"604049437929914369";https://twitter.com/Duckbats/status/604049437929914369
hannnahkristine;2015-05-28 18:12;0;10;"@taylornation13 look what I found at the airport (!!!!) alsooooo I see you guys in 16 days. I'm vomitting ! pic.twitter.com/mAGMrv5TWz";;@taylornation13;;"604047520377929728";https://twitter.com/hannnahkristine/status/604047520377929728
kathleenhayn;2015-05-28 16:31;0;1;"@CollinMcAnany brb vomitting";;@CollinMcAnany;;"604022181174104066";https://twitter.com/kathleenhayn/status/604022181174104066
pawbly;2015-05-28 14:58;0;0;"New Question: "My cat keep vomitting " http:// bit.ly/1JXykTV";;;;"603998817592164353";https://twitter.com/pawbly/status/603998817592164353
ruowenn_;2015-05-28 14:56;0;0;"Fking feel like vomitting";;;;"603998205211115520";https://twitter.com/ruowenn_/status/603998205211115520
BoneDaddyAsh;2015-05-28 14:34;0;0;"EVERYthiNG I diDNT SAY CAME ON IN TBELL IM VOMITTING";;;;"603992780759695361";https://twitter.com/BoneDaddyAsh/status/603992780759695361
Apostoool;2015-05-28 14:29;0;1;"He's such a Swiftie I'm vomitting .";;;;"603991609504505856";https://twitter.com/Apostoool/status/603991609504505856
chosenlwt;2015-05-28 14:27;0;0;"@Louis_Tomlinson Is he vomitting ? Bc its sick right?";;@Louis_Tomlinson;;"603991063565479936";https://twitter.com/chosenlwt/status/603991063565479936
brytandcompany;2015-05-28 14:08;0;0;"@Gabriellllem vomitting on u later";;@Gabriellllem;;"603986288585342978";https://twitter.com/brytandcompany/status/603986288585342978
evelynyewlan;2015-05-28 13:31;0;0;"Still vomitting like crazy. No alcohol night tho";;;;"603976808208343040";https://twitter.com/evelynyewlan/status/603976808208343040
gokkamokka;2015-05-28 13:01;0;0;"@subi_raman ha so true.My biggest struggle was vomitting some random english dude's poem with intentations.Cud nvr understand hw it helpd me";;@subi_raman;;"603969457862520832";https://twitter.com/gokkamokka/status/603969457862520832
bobbybeestang;2015-05-28 12:10;0;1;"Klay Thompson vomitting after game.nba playing deadly game.its a concussion not a contusion. #NBAPlayoffs";;;#NBAPlayoffs;"603956589188395008";https://twitter.com/bobbybeestang/status/603956589188395008
nadilahzahidah;2015-05-28 11:58;0;0;"Please no !!! * vomitting";;;;"603953423931723777";https://twitter.com/nadilahzahidah/status/603953423931723777
HCFZE_;2015-05-28 11:14;0;0;"Feel like vomitting fml";;;;"603942472603979776";https://twitter.com/HCFZE_/status/603942472603979776
boomboomshavaye;2015-05-28 11:07;0;0;"@PeteWishart @crimbosocks I read that as "little vomitting rights" Need to slow down.";;@PeteWishart @crimbosocks;;"603940648505454592";https://twitter.com/boomboomshavaye/status/603940648505454592
WriterOfBirdies;2015-05-28 10:55;0;0;"@IDuelistSnowy The thing is, it /will/ end. It's just a matter of the body expelling whatever it doesn't agree with. Blah blah, vomitting --";;@IDuelistSnowy;;"603937682595553280";https://twitter.com/WriterOfBirdies/status/603937682595553280
ninkyeong;2015-05-28 10:46;0;0;"@baeirenne because my eyes are toooooo sweet? so you cant resist it anymore and end up vomitting ? how sweet my bae is. ♡";;@baeirenne;;"603935381386461184";https://twitter.com/ninkyeong/status/603935381386461184
xTOOTHLESS;2015-05-28 10:37;0;0;"Headache feel like vomitting";;;;"603933143993745408";https://twitter.com/xTOOTHLESS/status/603933143993745408
lara_aeiou;2015-05-28 10:22;0;0;"Just got home from hospital. Kuya lance suffered abdominal pain and vomitting . 󾌣 — feeling stressed";;;;"603929272898682880";https://twitter.com/lara_aeiou/status/603929272898682880
UltimaXIV;2015-05-28 10:03;0;0;"@Grayspence vomitting is kinda healthy.";;@Grayspence;;"603924563206905856";https://twitter.com/UltimaXIV/status/603924563206905856
97junk;2015-05-28 09:55;0;0;"dehydration salt suppose to "help replace the salt n minerals" i lost through vomitting n shiting, but i'm actually vomitting more tf???";;;;"603922564499558401";https://twitter.com/97junk/status/603922564499558401
preciousbabyyyy;2015-05-28 09:53;0;0;"I feel like vomitting omg the worst feeling ever";;;;"603921989984591872";https://twitter.com/preciousbabyyyy/status/603921989984591872
ikaaismail;2015-05-28 09:45;0;0;"vomitting all over agaaain";;;;"603920106498883586";https://twitter.com/ikaaismail/status/603920106498883586
DannieePhantom;2015-05-28 09:32;0;0;"Kids, vomitting ain't fun... Don't do it, run at all costs";;;;"603916764515184641";https://twitter.com/DannieePhantom/status/603916764515184641
MehDonutCare;2015-05-28 09:00;0;0;"@paroxysmhes i'm vomitting rn. KADIRI KADIRI. may iba akong kasparks. HAHAHAHA";;@paroxysmhes;;"603908823884005377";https://twitter.com/MehDonutCare/status/603908823884005377
RealVictorLambo;2015-05-28 08:20;0;0;"People should taste their words before spilling them out Don't open your mouth and be vomitting words you don't understand. RT";;;;"603898654529818624";https://twitter.com/RealVictorLambo/status/603898654529818624
jolinchuaaa;2015-05-28 08:04;0;0;"I feel lIke vomitting";;;;"603894699443650560";https://twitter.com/jolinchuaaa/status/603894699443650560
BB_TOP__;2015-05-28 07:00;0;0;"Do anybody knows a good medicine to stop vomitting ?";;;;"603878518246670336";https://twitter.com/BB_TOP__/status/603878518246670336
ondacobbles;2015-05-28 07:00;0;0;"'11 years ago I was vomitting me guts up in the hospital' she says, 'but women do it every day no problem' I reply...counting my lucky stars";;;;"603878478287613955";https://twitter.com/ondacobbles/status/603878478287613955
bellisariho;2015-05-28 05:45;0;0;"i feel like vomitting";;;;"603859542103961600";https://twitter.com/bellisariho/status/603859542103961600
creamcaramello;2015-05-28 02:18;0;0;"omg I feel like dying then vomitting then dying again and vomit again and--!";;;;"603807449108254722";https://twitter.com/creamcaramello/status/603807449108254722
nickrosescu;2015-05-28 01:51;0;9;"Feelin pregnant cause I be vomitting the whole day";;;;"603800783277031424";https://twitter.com/nickrosescu/status/603800783277031424
narryficus;2015-05-28 01:38;0;0;"my stomach is acting weird i feel like vomitting but idk omfg whats wrong with me";;;;"603797351329767424";https://twitter.com/narryficus/status/603797351329767424
katiewagnera;2015-05-28 00:18;0;0;"It is human cruelty to force someone to school after a night of vomitting . #ThanksMom #Fantastic";;;#ThanksMom #Fantastic;"603777420563324929";https://twitter.com/katiewagnera/status/603777420563324929
itskatyaazarcon;2015-05-28 00:01;0;0;"nosebleed + vomitting = effing tired.";;;;"603772969282871296";https://twitter.com/itskatyaazarcon/status/603772969282871296
ohskawngur;2015-05-27 23:59;0;0;"@riady0sa oo babe pinagpalit mo na pala ako :---( [ vomitting ] hahaha";;@riady0sa;;"603772639442673664";https://twitter.com/ohskawngur/status/603772639442673664
ImNotOrange;2015-05-27 21:15;0;0;"Feel like vomitting";;;;"603731411367927810";https://twitter.com/ImNotOrange/status/603731411367927810
melhubbs;2015-05-27 19:01;0;0;"just saw #madmaxfuryroad I am VOMITTING it was so good #feministfilmsturnup #visualstorytelling #tweetingfromthegrave #causethismovieslays";;;#madmaxfuryroad #feministfilmsturnup #visualstorytelling #tweetingfromthegrave #causethismovieslays;"603697658629378048";https://twitter.com/melhubbs/status/603697658629378048
BIGMEATYCLOD;2015-05-27 14:26;0;0;"IF I LEAVE I'M PROBABLY VOMITTING";;;;"603628306261499904";https://twitter.com/BIGMEATYCLOD/status/603628306261499904
ysabilbilbil;2015-05-27 14:07;0;0;"too nervous i feel like vomitting";;;;"603623549283119105";https://twitter.com/ysabilbilbil/status/603623549283119105
