username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mopthelop;2015-11-29 18:22;0;0;"Still feel like vomitting out of guilt for fucking up this bad though";;;;"671107006594322432";https://twitter.com/mopthelop/status/671107006594322432
Nikka_Phillips;2015-11-29 17:11;0;1;"I feel like vomitting ugh I have two group presentations to do next week and I’m so lost on what to say for... http:// tmblr.co/ZQHQHm1z0K8jP";;;;"671089098380193793";https://twitter.com/Nikka_Phillips/status/671089098380193793
celiordie;2015-11-29 17:03;0;0;"@Dlo_530 it's not funny, I'm still vomitting";;@Dlo_530;;"671087215041114113";https://twitter.com/celiordie/status/671087215041114113
ahbms_;2015-11-29 16:35;0;0;"feel like vomitting";;;;"671080046988156928";https://twitter.com/ahbms_/status/671080046988156928
kankono_josefin;2015-11-29 16:26;0;0;"@MariaNepembe i wil keep slaping him/her so she/he continues vomitting da dollars";;@MariaNepembe;;"671077858538860545";https://twitter.com/kankono_josefin/status/671077858538860545
or15orisa;2015-11-29 15:45;0;0;"emeto////// i need to sleep i have a temperature and i feel like vomitting";;;;"671067417032925185";https://twitter.com/or15orisa/status/671067417032925185
_llisha;2015-11-29 13:58;0;0;"Woke up due to vomitting again";;;;"671040525110128641";https://twitter.com/_llisha/status/671040525110128641
imatrappedqueen;2015-11-29 12:57;0;0;"If not cause of shitting.. Its vomitting .. Vice versa..";;;;"671025179749814272";https://twitter.com/imatrappedqueen/status/671025179749814272
fayedempsey1;2015-11-29 10:56;0;0;"@RootingBranches thanks;) it's all very crazy and unpredictable, i have vomitting today but don't think that is the #fibro ! Not helpful";;@RootingBranches;#fibro;"670994753467621376";https://twitter.com/fayedempsey1/status/670994753467621376
maressamh_;2015-11-29 10:49;0;1;"why do i feel like vomitting since this morning";;;;"670993068229722112";https://twitter.com/maressamh_/status/670993068229722112
SudesnaRai;2015-11-29 10:26;0;0;"with my funny cousin cb vomitting all the way:*!";;;;"670987126234873856";https://twitter.com/SudesnaRai/status/670987126234873856
ddb6995;2015-11-29 10:15;0;0;"@mglynnk lol there's so much vomitting already, I doubt that would cancel the heinous festival";;@mglynnk;;"670984346967400448";https://twitter.com/ddb6995/status/670984346967400448
OHNlMNOHS;2015-11-29 09:34;1;0;"I feel like vomitting this is it the sign where I should stop eating like a fucking elephant";;;;"670974230947696640";https://twitter.com/OHNlMNOHS/status/670974230947696640
tsukuyoes;2015-11-29 08:57;0;0;"WHY YUU IS VOMITTING BLOOD OH GAD";;;;"670964758099529729";https://twitter.com/tsukuyoes/status/670964758099529729
jasxokl;2015-11-29 08:55;1;0;"feel like vomitting";;;;"670964244687405056";https://twitter.com/jasxokl/status/670964244687405056
blessed_bot;2015-11-29 08:40;0;0;"VOMITTING SOONNNNN!!!! BLEK.... :o #BLESSED";;;#BLESSED;"670960411643125761";https://twitter.com/blessed_bot/status/670960411643125761
wanchyin;2015-11-29 08:36;0;0;"VOMITTING SOONNNNN!!!! BLEK.... :o #architorture #fml";;;#architorture #fml;"670959524199669760";https://twitter.com/wanchyin/status/670959524199669760
EngemoZ;2015-11-29 07:48;0;0;"@LodaBerg @RLewisReports If i already read this bullshit I could start vomitting .";;@LodaBerg @RLewisReports;;"670947323342639104";https://twitter.com/EngemoZ/status/670947323342639104
mytls05;2015-11-29 07:45;0;0;"Scroll...scroll....scroll saaaad. Sick. headache. sinat. nausea. vomitting ..what else :(";;;;"670946597178507264";https://twitter.com/mytls05/status/670946597178507264
Shxyxn_;2015-11-29 07:30;0;0;"Eat abit then feel like vomitting";;;;"670942907776438272";https://twitter.com/Shxyxn_/status/670942907776438272
alinahuh;2015-11-29 05:30;0;0;"i feel like vomitting ahbecjjsownf";;;;"670912723832586240";https://twitter.com/alinahuh/status/670912723832586240
MelissaSweet1_;2015-11-29 05:30;0;0;"@SmartyKat314 Nope, just sick. I'd be vomitting much more. I think I threw up from the pain in my throat and ear.";;@SmartyKat314;;"670912612234694656";https://twitter.com/MelissaSweet1_/status/670912612234694656
I_Sting_Idiots;2015-11-29 04:57;1;1;"@sagarikaghose @TimesLitFestD So done with acidic vomitting in the name of Hinduism, you accidental hindu?";;@sagarikaghose @TimesLitFestD;;"670904290991472640";https://twitter.com/I_Sting_Idiots/status/670904290991472640
opydoc;2015-11-29 04:05;0;0;"Lady Vomitting blood in Ikorodu, Lagos! I Pray this wil Never be ur Portion in Jesus Name [Amen] http:// fb.me/78MJvcFP4";;;;"670891309431980032";https://twitter.com/opydoc/status/670891309431980032
CRYLDN;2015-11-29 03:57;0;1;"@MountainBone so far no vomitting .. ano lang sobrang nahihilo, mabigat ulo";;@MountainBone;;"670889224183242752";https://twitter.com/CRYLDN/status/670889224183242752
MatarGasti;2015-11-29 03:44;0;2;"All I know about Aakar Patel is that from years his rozi roti depend on consistent anti Modi anti RSS anti BJP vomitting articles...";;;;"670886056917491713";https://twitter.com/MatarGasti/status/670886056917491713
HowImmaculate;2015-11-29 03:20;0;0;"Vomitting everywhere is not cool";;;;"670880048581378049";https://twitter.com/HowImmaculate/status/670880048581378049
ansariplease;2015-11-29 03:10;0;0;"Another round of serious vomitting since weeks. Thanks follic acid.";;;;"670877433097117696";https://twitter.com/ansariplease/status/670877433097117696
